[0:00:25] chickensalad3459: おはようございます
[0:00:43] gyxgyf: おはよ
[0:00:43] フレト: ヒムライブ！
[0:00:44] めゆﾁｬﾝ: こんはる〜！！
[0:00:45] sky_sheeeeep: こんはる
[0:00:46] めぃぷる: こんはるー
[0:00:46] るあ_7: こんはる〜
[0:00:47] roro___4: こんはる〜
[0:00:49] Rey_0o: こんはる〜
[0:00:51] c___m_l: こんはる〜
[0:00:54] mqrron_: こんはる〜
[0:00:54] donguri_guracoro: こんはる〜
[0:00:55] reiryu1105: こんはる〜!
[0:00:57] huyuhuji: こんはる～
[0:00:57] 228_moon_1002: こんはるー
[0:00:57] ささみにきん: こんはる〜
[0:01:03] kokko0930: こんはるー
[0:01:06] めぃぷる: いぶちゃん新しいアカウントかな？
[0:01:07] chikatetu: こんはる～
[0:01:08] tempy517: こんはる～
[0:01:11] xnick_7x: こんはる～
[0:01:11] りおーるる: こんはるー
[0:01:16] Rey_0o: ランクだ！
[0:01:31] 猫ニャン720: 来ました
[0:01:34] rikarin_1009: こんはる〜
[0:01:52] 猫ニャン720: 頑張って‼️
[0:02:06] muuchan20: こんはる
[0:02:06] nugur1lol: あと数時間の命のフィズくん
[0:02:07] pen_penmaru: こんはる〜
[0:02:16] CoCo_nosaino: こんはる～
[0:02:22] kokomico: こんはる〜
[0:02:52] さく_らば: こんはるー
[0:02:58] 溝隠: こんはる～
[0:03:58] ryino__: こんはる
[0:04:02] ZarathustraD: 環境からの吸い上げをちゃんとしているゲーム
[0:04:07] momizi_11: こんはる〜
[0:04:18] minmin2525193: こんはる〜 shibuy3Donnnamon
[0:04:19] ruri_0202: ruri_0202 subscribed at Tier 1. They've subscribed for 6 months! 
[0:05:07] ririmercury108108: ティーモは特化ビルド組むとキノコ1個でADCやSUPをキルできたらしい
[0:05:25] hi_nata_0: ランクどこら辺なんですか？
[0:05:30] 凜315: ティーモ育ったらウルトで8割ぐらい削られるんよなｗ
[0:06:30] cn0x0: バースト系に相性良すぎ
[0:10:16] tarachan39: こんはる～！
[0:10:58] suyaav: ティーモﾀﾉｼ~
[0:14:25] youareinrock: ナイスベイトｗ
[0:14:35] アイアン朱冶: JGが優秀
[0:14:54] fisicna: ティーモで相手が冷静を保てない
[0:16:31] suyaav: つよ
[0:18:28] 黒マスクのりんりん: こんはる〜〜〜
[0:19:14] cn0x0: 今のはいいピンだったなぁ
[0:19:43] 瓜うじ: こんはる～
[0:22:25] whirling_cat: こんはる〜
[0:23:08] fisicna: やはり害獣
[0:23:59] euglenatft: ティーモのビルドできる前に終わりそうだ
[0:24:49] ごはん怪獣: 今流行りのウルト軸じゃなくてasティーモなのか
[0:39:00] hi_nata_0: この構成体が弱すぎる
[0:40:39] azalea0606: おわってんなあ
[0:42:06] Rey_0o: nf
[0:42:13] whirling_cat: nf
[0:42:17] kokomico: nf gg
[0:42:24] 黒マスクのりんりん: nf
[0:42:33] 瓜うじ: nf
[0:43:07] zaky3446: こっからアイアンまで落ちるのがlolのテンプレ
[0:43:30] gil_12_12: lolのシルバーってエペでいうとどのくらい？？
[0:44:01] soratan2575: つっよ
[0:45:01] zaky3446: @gil_12_12 ダイヤ
[0:45:23] 퍼아: 初見です！
[0:45:57] gil_12_12: 初めてランクにいったらダイヤになる感じなのか、、、こわ！
[0:46:21] zaky3446: 基本的にランク高めにマッチして、最初はかなり落ちます
[0:47:06] soratan2575: ジャックスジャングルじゃね
[0:47:42] 퍼아: OPGGとかで調べられなくするやつです
[0:48:22] soratan2575: 今ヴォイドグラブのときに戦えるジャングルの方が強い？
[0:48:23] 激ローメタモン: ま、今のうちに座学しておくべ
[0:49:34] onigirimarun: こんはる
[0:49:56] 퍼아: シーズン変わってジャングルは強いやつがいいですリーシンとか
[0:50:01] ごはん怪獣: 今はカプセル売ってる
[0:50:01] ESL_OR4NNGE: 今バトルパスやってない
[0:50:06] kon_0_vv: もう終わってるね
[0:50:23] Liru_e: こんはる
[0:50:39] kon_0_vv: バトルパスオフシーズンあるの勿体無い感じするよね
[0:51:02] ごはん怪獣: 龍術師2024イベント中やね
[0:51:53] 激ローメタモン: 生を実感するよな
[0:53:24] tomo9999q: 両方買えばええやん！
[0:53:30] もちゃまる1003: ガチャ引く理由作っててw
[0:53:59] euglenatft: 開けた倍数の方からもカプセル拾えるけどそっちからも確定ではない
[0:53:59] ごはん怪獣: ゼドのプレステージ次パッチで復刻するからミシックエッセンス貯めとくといいかも
[0:54:30] kon_0_vv: レガシーは今買えないやつ
[0:55:58] sekain0sekai: レジェンダリースキンそんな出ることあります……？
[0:57:47] euglenatft: マイルストンの方龍術師確定じゃないので運いいです
[0:58:56] ごはん怪獣: 次ゼドとジャックスのプレステージスキンミシックショップにきます
[1:00:06] soratan2575: シンジャオいま強いらしいよ
[1:01:03] soratan2575: そっかサミーラWでブリッツ防げるのか
[1:01:04] hihumidesuyo: ！RANK
[1:01:49] mokaoday: 構成の考え方とかいまいちわからないんだけど、どこで学べばいいんだ
[1:03:06] soratan2575: ティアマット積んでジャングルクリア早めたいのかな？
[1:04:21] egretdotnull: lol構成 考え方でyoutubeで調べるとある程度でるよ Clash向けだけど
[1:06:18] sekain0sekai: @mokaoday 構成はlolwikiとかロール別チャンピオンみて、タンクが多いだとかメイジが多いだとかバランスが悪くなければよいかと。あとは相手見てエンゲージできる方が良いかカウンターできる方が良いかなど。他はダメージ源ですかね。APとADの比率。
[1:08:23] mokaoday: キャラごとの相性までは考えなくていい感じか。さんくす
[1:09:24] egretdotnull: シャコのようなキル取り方
[1:09:30] soratan2575: いいねぇ！
[1:14:19] mokaoday: トップ狙い目か
[1:16:15] egretdotnull: イグナイトのクレンズ解除はやかったな
[1:22:22] gil_12_12: こここら逆転とかは流石にないの？
[1:23:50] xxnaopxx: 相手がよっぽど舐めた行動しないと無理、今までの集団戦かなりより早めのチームだから多分ない
[1:25:03] ブラッドリンク: ヒリつきたくなってしもたんー！？ファイトだ！
[1:25:05] sekain0sekai: ミスフォさんのRがきれいに決まったり、キャッチしてシャットダウン拾っていければなくはないですが相手みるに守るの難しそうですね……。
[1:25:07] wasabi_0_0: こんはる〜
[1:25:39] koto_8: こんはる〜
[1:26:00] Rey_0o: nf
[1:26:09] kokomico: nf
[1:26:21] whirling_cat: nf
[1:26:31] Liru_e: nf
[1:26:56] gil_12_12: @xxnaopxx ありがとうございます！
[1:28:17] ブラッドリンク: 買うアイテムの最適解も出てきたでありますか？
[1:29:46] suzu0419: こんはる〜
[1:29:59] eryshaaaini: そりゃそうｗｗｗｗｗｗｗ
[1:30:26] xxnaopxx: これサプティーも？
[1:30:47] eryshaaaini: ウディアとかでもいい
[1:31:30] 新入り_: こんはる〜
[1:31:51] なげたらまけ: 大丈夫ストームサージもったら何でも溶かすって（白目
[1:31:55] buriburiburikko: adルブランしょうもない BibleThump
[1:32:08] eggbiscuit666: ADルブランには気をつけるんだ．．．
[1:32:26] ketel0700: 現パッチ最強と噂のルブラン
[1:33:29] あったかいお湯: 新パッチどんなもん？by obo
[1:33:54] りやあた: こんはるー
[1:34:29] にょる1113: フィズも同じくらいよくないｗ
[1:35:32] khulaine: I wish Hal good luck in ranked games
[1:36:28] にょる1113: 相手はサポートサイラスか
[1:40:02] 新入り_: あぁw
[1:40:33] りやあた: 来客多いね
[1:40:46] はちべぇ_: 今フィズ強いから凹ませたいんだよね
[1:41:25] blacknikk4: igunaito
[1:46:25] ゆーえぬ0: まっずい
[1:48:24] srkoh: サポートのオラつきじゃない
[1:48:41] 로리오스: 敵５６して味方のサポートする感じ？
[1:49:12] buriburiburikko: おにごっこキャラ
[1:49:19] ゆーえぬ0: ずるいわぁ
[1:49:26] Nessiehazard: 鬼ごっこ最強
[1:50:39] まひる1091: リッチベイン→シャドフレでWQだけでADC死ぬの気持ちいい
[1:51:15] buriburiburikko: しぶはるqにw乗るの知らない感じかな？
[1:51:49] barudrake1108: 大事なCCが
[1:52:45] buriburiburikko: ルブランはaaする暇ないからなぁ
[1:52:51] 新入り_: 世界を救ってくれ〜
[1:54:26] barudrake1108: 我々には救えぬものじゃ
[1:55:13] 絶壁の錬金術師: 乾殿にしか見えん
[1:55:13] igaigai: そもそも元ネタなんだっけ
[1:55:15] 新入り_: 乾殿を許すな
[1:56:41] 新入り_: うおおおおお
[1:56:47] 瓜うじ: ないすぅ
[1:56:48] yu_8686: ないすぅ
[1:57:07] 瓜うじ: www
[1:57:08] 新入り_: 言葉強www
[1:57:13] yu_8686: www
[1:57:17] ghalnaag: www
[1:58:52] ゆーえぬ0: ワンコンされたわ
[1:58:56] himajin456: わー
[1:58:57] ghalnaag: えぐー
[1:59:13] ghalnaag: 流石に甘えだったか…
[2:01:54] チムーさん: xd
[2:02:05] pnpkmytanuki: ｗｗｗｗ
[2:02:11] ghalnaag: ウルトおおおお
[2:02:13] はちべぇ_: どうやらいけそう
[2:03:32] 新入り_: 失礼しました〜
[2:05:03] 新入り_: うざすぎだw
[2:05:25] pnpkmytanuki: 時計使ってもか
[2:07:48] Rey_0o: nf
[2:07:51] mahiro2000: nf
[2:07:51] himajin456: nf
[2:08:09] whirling_cat: nf
[2:08:17] ghalnaag: ggnf
[2:08:20] Liru_e: nf
[2:08:49] キノ太郎: !rank
[2:08:49] Nightbot: [APEX] Main:Gold2 Solo:未認定 [VALO] Dia3 [雀魂] 雀豪2 [LoL] NA時代のGold
[2:09:05] 新入り_: どうして適正から始まらないんだ、、、
[2:09:20] キノ太郎: ごめん、見てなかったんだけど今のランクシルバーで合ってる？
[2:10:08] aika_0415: こんはる～
[2:10:57] himajin456: エッッッ
[2:11:09] kanishira: ハート溜めてCCだぞ そりゃね
[2:11:42] にょる1113: 見た目で相手を呼び寄せて、拷問してその苦しむ姿を食べてるのがイブリン
[2:11:50] himajin456: 領域展開w
[2:12:03] hiro_minorin: 悟じゃなくても普通にありそうなポーズだったけどｗ
[2:12:23] くろーずど: ポケモンのランクといっしょや
[2:15:13] kanishira: 敵の構成グロ
[2:15:38] leon_10_09: こんはる〜
[2:16:05] kinota1221: ティーモのせいじゃね？w
[2:16:14] leon_10_09: イブイブだ🎵
[2:16:31] くろーずど: 効果は抜群だ
[2:16:41] にょる1113: カウンターJGしまくるからじゃない＞
[2:16:43] ghalnaag: バグか？
[2:16:52] ごまだれ塩ゆで: マッチアップが極端に少ないから大きめにでてるとか？
[2:17:02] くろーずど: サンプル少ない上にカウンターだと、高い数値がでるけど、それでもとんでもないな
[2:17:19] meteor_shower14: 流石に統計のトリックなだけの気がするけど…
[2:17:42] meteor_shower14: ガチでこの数値ならやばいね
[2:18:20] rrsora: w
[2:18:42] ようすい: 国防失敗 BibleThump
[2:19:11] ghalnaag: 在日外国人かもしれないし…
[2:19:35] cet0s: ヤスオって何がいんだろ
[2:20:18] meteor_shower14: 初心者でミッドやってるんだけど
[2:20:30] meteor_shower14: ヤスオがうざいって言われる理由何？
[2:21:23] ghalnaag: トロールかハイパーキャリーの二択だったからじゃなかった？
[2:22:20] meteor_shower14: @h1nekko あ、そういうことなのか。性能的に射程とかかと思ってた。あざす。
[2:23:21] kanae_is_god: !rank
[2:23:21] Nightbot: [APEX] Main:Gold2 Solo:未認定 [VALO] Dia3 [雀魂] 雀豪2 [LoL] NA時代のGold
[2:26:04] みっぽん: ここから入れる保険はないんですか？
[2:26:27] cet0s: キル欲しかったー
[2:28:47] tokitokaoru: そもそもニダリーがカウンタージャングルタイプで、レベル3以降最強なので、マオカイのウルト起動までマオカイ側はやれることがなく、結果一生マオカイをしゃぶり続けたら勝てるので強いと。
[2:29:04] cet0s: でもキルがもらえない😭
[2:29:27] d4nma_desu: エズのキルは欲しかった BibleThump
[2:29:33] m1y4by: ニダリー世界で一番強い
[2:31:14] m1y4by: 槍投げるだけで多分人が吹き飛ぶ
[2:32:10] りやあた: うまかったよ
