[0:00:43] いふく: あのエビにmidを！？
[0:01:19] Kiri_1111: RaccAttack 配信休む詐欺
[0:01:47] no_hospital_g: マジでタイトル見間違えたわ
[0:01:56] unbridledssong: Aboのコーチングするのか
[0:02:04] sukinnbagu: ミニオンウェーブのたぬき
[0:02:56] コーラ大好き: RaccAttack
[0:03:08] ねろこ: tanukiGoja tanukiGoja
[0:03:09] もうちょい: tanukiGoja
[0:03:26] SugarFreeVG: 休みのlol
[0:03:29] amakusa3065: 配信あるでござるやんけ！
[0:03:41] yosibill: yosibill watched 30 consecutive streams this month and sparked a watch streak! 30
[0:03:42] キサキリ: TFTコーチング始まる？
[0:03:43] djgalio: 麻雀みたいな
[0:03:45] 木鉢: ｗｗｗｗｗ
[0:03:46] たぴおかぱん: まーじゃん
[0:03:46] hinadarumahs: 麻雀みたいな
[0:04:45] atdktmm: エビオさんって何の人ですか？
[0:04:50] 来来楽陽樹: tftもうええてＷ
[0:05:00] しろまる_: TFTしてるやん
[0:05:16] oya1642: エビオはにじさんじのVtuberです
[0:05:28] nosamushiro: エビさんに見えてびっくりしたけどaboか
[0:06:10] もうちょい: 個人戦だからね
[0:06:15] khumama: ｔｆｔのmid教えるのか
[0:07:12] nagaaaa4: システムが面白いから
[0:07:21] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:08:12] 来来楽陽樹: そんなちゃんと気になってるわけじゃなさそうだけどｗ
[0:08:36] たぬき忍者: https://www.metatft.com/comps
[0:08:47] Kiri_1111: ちょっと離席してたのにまだTFTの話してて草
[0:08:49] もうちょい: TFTコーチングか？
[0:08:51] kurou_crunn: まるで将棋だな
[0:08:53] khumama: まるで将棋
[0:09:23] legitfroggy: TFTコーチングだった
[0:09:28] 電脳的オラウータン: 社交辞令で話広げようとしたらおもったよりたぬきが語り始めて困ってる感じだ
[0:09:28] darksworks: こんばんは、これ今どういう状況？
[0:09:52] supermorinphen: 今TFTコーチング中っすね
[0:09:54] fizzzsupport: あれ？TFTコーチング？
[0:09:54] Kiri_1111: TFTのオタク語りしてる
[0:10:06] まろのすけ: なぜかTFTの話
[0:10:44] legitfroggy: チャレンジャーアピールしろ！
[0:10:45] まろのすけ: まあまあ？？
[0:10:49] 来来楽陽樹: えびおくん聞き上手だ
[0:10:50] レイムゥ: まあまあ
[0:10:52] カーヴ: まあまあチャレ
[0:10:53] もうちょい: いけ！チャレマウント！
[0:11:09] darksworks: まぁまぁね、TFTやってるよね(チャレ)
[0:11:21] kurou_crunn: たぬき集中型
[0:11:30] khumama: 才能の狸
[0:12:18] ぽっど: tanukiGoja
[0:12:30] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:13:12] endooomame: 珍しい2人
[0:13:50] nukmor: エビとたぬき？
[0:14:00] レイムゥ: ｗ
[0:14:01] darksworks: ABOとたぬき
[0:14:02] 桜守: 孤島
[0:14:03] もうちょい: ｗ
[0:14:06] sukinnbagu: ；；
[0:14:06] たぴおかぱん: 孤島ゆえ
[0:14:06] nukmor: 退屈な人には退屈よな
[0:14:11] endooomame: 正解！
[0:14:12] unbridledssong: 格ゲー好きじゃないタイプか
[0:14:24] sinma001: エビにMIDを叩きこむと聞いて
[0:15:17] うし3: tanukiGoja
[0:15:24] 風待人: CSと触れ合わないからかと思った
[0:15:36] endooomame: エビオは他ゲーとかだとコールしてるイメージ
[0:15:39] sinma001: LOLの基礎であるCSがね
[0:15:49] Kiri_1111: 逆に1番ゲームの理解が必要
[0:15:53] Siranui77: JGはlolと言うゲームを学べる
[0:15:56] darksworks: CSを取る練習しなくなるから慣れてきたときに辛くなるよね
[0:16:16] 来来楽陽樹: 今クイックでもサブロールあったほうがいいんじゃね
[0:16:24] まろのすけ: csとかはjgじゃ上手くならんし
[0:16:45] レイムゥ: いいじゃん
[0:16:48] dorujichan: いいね
[0:16:54] Kiri_1111: キャリールートだ
[0:17:01] dorujichan: ある程度（マスター）
[0:17:04] sinma001: MIDJGってけっこう珍しいチョイスかもしれん
[0:17:28] sinma001: 全部のロールでマスターはいけるたぬき
[0:17:33] madlemongrass: 今ミッドで初心者おすすめはなんですか？
[0:17:37] tomatoma19: たぬきMIDメインだけどADC以外ならマスター以上のレベルにありそうだが
[0:17:38] darksworks: にんにんは特殊であり、普通のLOLプレイヤーは全ロールできません。。。。
[0:17:41] shino_draktharr: エビオIGL気質だからMidJG向いてそう
[0:17:59] dorujichan: 強みをいかすのがむずかしいよパンテは
[0:18:05] たぴおかぱん: おー
[0:18:12] カーヴ: オリアナしっくりはMIDいいね
[0:18:12] endooomame: オリアナしっくりくるのいいね
[0:18:14] supermorinphen: オリアナしっくりくるんだ
[0:18:15] Kiri_1111: worldsパッチだったのかな
[0:18:20] 毒ガス: 古き良きメイジ使いだ ライズ進めようぜ！！！
[0:18:22] k4izar: メイジ系か
[0:18:23] darksworks: オリアナしっくるのMID適正ありすぎじゃね？
[0:18:26] legitfroggy: 残酷な現実
[0:18:28] まろのすけ: 龍スウェインとか好きそう
[0:18:45] shinkai333: Rが分かりやすく強さあるのがいいのかな？
[0:18:45] dorujichan: 初心者帯はまじでかわらんな
[0:18:47] madlemongrass: 動けるチャンピオンかゆっくり育てるチャンピオンかなど色々分かれそう
[0:18:58] sinma001: ランク上がる思考
[0:19:01] Kiri_1111: 勝ちたいタイプだ
[0:19:17] レティツィア: これは伸びるタイプ
[0:19:21] こーで: スウェインていうキャラがいてね
[0:19:22] endooomame: ワンコンで決めたい感じだ
[0:19:23] ayukunddd: パンテadc以外いけそうでいいかもな
[0:19:30] legitfroggy: ス、ウェイン
[0:19:32] madlemongrass: TF？
[0:19:32] sinma001: すうぇ……
[0:19:32] dorujichan: スウェインかぁ
[0:19:33] まろのすけ: スウェイン……
[0:19:34] レイムゥ: す、ｗ
[0:19:35] もうちょい: す…
[0:19:35] Phamisya: スウェ
[0:19:42] うし3: ブラ
[0:19:42] darksworks: ス、ウェイン
[0:19:47] レイムゥ: TF見せてみるか
[0:19:48] zakuro_03: マル
[0:19:50] supermorinphen: ニーコか？
[0:19:50] NemoUQ: あまりにも初心者向きじゃない
[0:19:51] 桜守: 今日勝ちたい、そんなあなたにスウェイン
[0:19:51] Kiri_1111: TFはちょっと...
[0:19:54] dorujichan: TFはだめだぁ
[0:19:56] namu3haipa: 義務す
[0:19:59] 酢漬け海苔巻き: 初心者にTFは…
[0:20:04] アルビサポ: ブランドは？
[0:20:05] tomatoma19: フィズか
[0:20:08] sbnobutbs: ニーコガリオか
[0:20:09] カーヴ: ニーコぐらいじゃない？
[0:20:10] 風待人: あ
[0:20:10] kurou_crunn: うおおおおおおおおおおおｗ
[0:20:13] zakuro_03: あ
[0:20:15] Nao_Neumann: あw
[0:20:18] legitfroggy: いつもの
[0:20:20] supermorinphen: うおおおおお
[0:20:20] うし3: あ
[0:20:20] khumama: 今強いから！！！！
[0:20:33] こーで: カスタムでキャラみせてあげたらいい
[0:20:36] ルミナス9: 義務スウェインのたぬき
[0:20:39] 時宮: たぬきスウェイン養成所
[0:20:41] sbjib: 義務スウェインきたな
[0:20:46] Siranui77: オリアナシンドラがしっくりくる人にいまの環境何勧めるんだ
[0:20:50] sukinnbagu: ま～たスウェインか
[0:20:51] 風待人: ｗ
[0:20:55] Pinochiiiii: www
[0:20:55] NemoUQ: スウェインの伝道師
[0:20:55] ぽいだお: でも今強いんだよなぁ・・・
[0:20:56] legitfroggy: 全員を笑顔にしてるんだよね
[0:20:58] 辛味噌ネギ牛丼: 弟子はまずはスウェインからやれ
[0:21:02] dorujichan: 今日勝てるlol スウェイン
[0:21:03] asa_16: 伝道師
[0:21:04] kurou_crunn: １００万回推されたスウェイン
[0:21:04] レティツィア: www
[0:21:08] darksworks: 実際今強いんだよなスウェイン
[0:21:10] Nao_Neumann: スウェインは集団戦が楽しいよな
[0:21:15] sukinnbagu: ｗ
[0:21:16] supermorinphen: スウェインの伝道師
[0:21:22] sinma001: たぬき流LOLの基本キャラ
[0:21:24] NemoUQ: 初心者にオススメしないチャンプの回だ
[0:21:24] Siranui77: たぬき塾で異常に勧められるスウェイン
