[0:00:34] わがはいさん: 渋谷LOLでぃす！
[0:00:38] donguri_guracoro: こんはる〜
[0:00:41] yu_8686: こんはる〜♪
[0:00:45] ukiyuki2525: こんはる
[0:00:45] 0_mochi_mochi: こんはるはるー！
[0:00:45] roro___4: こんはる〜
[0:00:47] Aokeira: こんはる~
[0:00:49] reiryu1105: こんはる〜
[0:00:50] 飽きしょう: こんはるー
[0:00:52] nesann: こんはる〜
[0:00:52] tarachan39: こんはる～！
[0:01:00] nyanya_hanako: こんはる〜
[0:01:04] pen_penmaru: こんはる
[0:01:08] さかいですです: こんはる
[0:01:10] rikarin_1009: こんはる〜
[0:01:12] xnick_7x: こんはる〜
[0:01:27] c___m_l: こんはるー
[0:02:36] tarabagani_jr: こんはる〜
[0:02:40] suzu0419: こんはる〜
[0:02:47] めゆﾁｬﾝ: こんはるー！
[0:03:13] shin0nl: こんはる〜
[0:03:16] wamyok: こんはる〜
[0:03:24] syknesan: こんはる〜
[0:03:25] 228_moon_1002: こんはる〜
[0:03:28] matukodo: こんー
[0:03:29] twinheads1982: こんはる～
[0:03:44] minyan_1103: こんはる
[0:04:31] huyuhuji: こんはる～
[0:04:34] 228_moon_1002: wwwwww
[0:04:36] ようすい: RIOTのヤラセだよ
[0:04:58] いちいち1: 未来の自分見つけちゃったか
[0:05:01] akatsuki152431: このゲームむずい
[0:06:46] ヴァロシニア: shinjisanBT_SG
[0:07:03] moti_usagi: こんはる〜
[0:09:15] himajin456: こんはるー
[0:09:47] tonkatsu_sbt: 初心者にワードの大切さをね
[0:10:16] aika_0415: こんはる～
[0:10:22] mqrron_: こんはる〜
[0:11:51] mildemoco: こんはるです。
[0:15:36] ようすい: なんでもありペクス
[0:16:19] 絶壁の錬金術師: おぼさんプロゴルファー目指してるからな
[0:17:17] ジブタロ: ３
[0:18:05] uchikoshiTL: ｗｗｗｗｗ
[0:18:30] ジブタロ: 赤アーマーもなかったか
[0:18:32] ようすい: 銃声聞こえたらしぬ武器
[0:19:15] Rey_0o: こんはる～
[0:20:14] y_matsurika: こんはる〜
[0:21:14] yu_8686: 揃ったぁ
[0:22:03] matukodo: このヤスオかっけぇ
[0:22:09] yayoi_1080: こんはる
[0:22:09] onigirimarun: こんはる
[0:22:23] maccha_b7: こんはる〜
[0:23:19] momizi_11: こんはる〜
[0:23:37] yu_8686: www
[0:24:59] kon_0_vv: あまりにもレーン専が多すぎる
[0:25:26] shin0nl: ヤスオw
[0:25:41] ようすい: ヤスオは世界と戦ってるから
[0:26:29] haluol: こんはる
[0:28:21] 瓜うじ: こんはる〜
[0:28:33] iza_4ere: こんはるー
[0:28:48] ketel0700: カサンテ新アイテムでレーン処理できるから
