[0:00:40] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:58] シャオレイ: おじゃ～
[0:01:17] aazzazz000: RaccAttack FBCatch MaxLOL
[0:01:18] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:04:39] 太郎〇: 長め宣言あざます
[0:04:47] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:05:06] nukmor: RaccAttack FBBlock
[0:05:49] 太郎〇: 物理防御のシャードがいれれなくなってアサシンがいきいきしてると聞きました
[0:06:22] nukmor: 手厚くて厳しい
[0:06:46] SugarFreeVG: tanukiGoja
[0:09:46] legitfroggy: ｗ
[0:09:46] oba_q: ｗ
[0:09:46] ピーナッツ君です: w
[0:09:48] kaninomisoni: ふふｗ
[0:09:51] nukmor: 怒りのたぬきビーム
[0:10:04] YoshidaHansyu: なぜ
[0:10:33] masofly: たぬきおじゃ
[0:10:40] lonelyrolling_star: カルですか
[0:11:15] kaninomisoni: 舐められてるな
[0:11:22] rena_toi: 舐めてんな
[0:11:52] lun4grus: 配信感謝 tanukiGoja
[0:11:58] ぱんこ123: スキンかわいい
[0:12:21] yokobue: RIP
[0:12:26] YoshidaHansyu: ビーム禁止
[0:12:30] レティツィア: おじゃ
[0:12:34] tomatoma19: w
[0:12:37] ラハール: ラハール subscribed with Prime. They've subscribed for 78 months! 
[0:12:38] oba_q: タワープレートもおいしい
[0:12:47] hiro_sensei: 相手リスペクトないなぁ
[0:13:18] おるれの: 何が言いたいんですか?
[0:13:18] tomatoma19: マルザでキャリーや
[0:13:26] kaninomisoni: こいつリワークあるのかな
[0:13:32] おるれの: あなたの名前のほうがゼド使いそうですよ
[0:13:34] nukmor: まず
[0:14:18] oba_q: OPGG見たけどちゃんとゼドメインだった
[0:14:41] tomatoma19: CSがchovy並になってそう
[0:15:01] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:15:31] nukmor: tanukiSyuriken2 tanukiSyuriken tanukiSyuriken tanukiTanu
[0:15:37] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:16:36] レティツィア: 14分でmid折れるのはえぐい
[0:16:51] gimmekulusevski: tanukiSyuriken2 tanukiSyuriken tanukiSyuriken tanukiIkenie
[0:16:57] marumaru3ta: おじゃです
[0:17:49] kaninomisoni: マリグナンスとの相性よすぎる
[0:18:03] maguroud: １分ごとにULT使えるのだいぶまずい
[0:18:13] ホシノくん: お金配りおじさん
[0:18:34] ぷるむむむ: おじゃ 今マルザハール強いですか？
[0:19:25] そうめんの親戚: ウルトの回転やば
[0:19:27] nukmor: 顔でか
[0:19:40] oba_q: ウルト回転はえー
[0:20:28] kuruton2007: 人は死ぬぞ
[0:20:28] maguroud: 忍者のいないところでみんな死んでいく
[0:21:13] おるれの: たぬきさん新しい方の貫通杖ってなんのために存在してるんですか？
[0:21:40] おるれの: 回復しょぼくない？
[0:21:53] oba_q: 昨日のLJLでもあの花のおかげで味方AＤＣ生きてましたね
[0:22:12] おるれの: フェイで積んできます
[0:22:29] kurou_crunn: むしろあの花特殊効果ついててあのステータスなの結構ヤバくね
[0:22:50] shot_taka: 回復量はAPレシオだから強いと思ってる人は育ってるし弱いと思ってる人は育ってないのかも
[0:23:15] 太郎〇: もしかしてヴォイドスタッフ積むチャンプって存在しない？
[0:23:22] maguroud: 前貼れる奴突然異世界いくしな
[0:24:06] kirokiromushi: w
[0:24:06] lasagma00: ｗ
[0:24:09] kaninomisoni: なんか目の前に出てきた
[0:24:12] hengen_vip: www
[0:24:12] rena_toi: w
[0:24:14] yokobue: お気楽ガンク
[0:24:18] sonic0023755390: マルザ最高！！
[0:24:21] おるれの: さっさとサッシュつみなー?w
[0:24:29] kurou_crunn: やっぱいつの時代もmidJGなんすよ
[0:24:33] rena_toi: 物分かりのいいjg
[0:24:33] oba_q: 虫がいっぱいだ
[0:24:43] legitfroggy: しんだ
[0:24:47] tomatoma19: マルザのウルトが上がるたびに近寄ってくるグブ
[0:24:49] 太郎〇: ベルヴェスがいるかのごとく虫が
[0:24:53] ユーミ本人: 気持ちよくなって死んだ
[0:24:53] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:24:58] おるれの: このゲーム徴税官二人いるのに相手納税足りてなくない？
[0:25:08] shot_taka: ウルトハンター入れてるの？これ
[0:25:13] kaninomisoni: 実際納税足りてない感
[0:25:18] maguroud: このゲーム納税すると大体負けるんでね
[0:25:24] overwatch_is_: こっから何行くの？
[0:25:28] legitfroggy: 積みたくないよー
[0:25:42] oasis0114: おじゃです
[0:25:51] 太郎〇: 打たれない状況を作るのが大事か
[0:26:00] inumatsu: マルザ相手はそうだけど、マルザもモルデもいる場合は積みたい気も。
[0:26:03] revercup: このマッチアップ有利ですか？
[0:26:04] maguroud: このゲーム納税高すぎるんだよな
[0:26:44] oba_q: みんな死んだ人から落ちた殻拾わない・・・
[0:26:54] ドラピ: 納税したとして派生先がマーキュリーシミターしかないんだよな…
[0:26:59] おるれの: シケモク拾い
[0:27:17] rena_toi: ないすー
[0:27:20] sannma_pie: ゼラスが追い込み漁されてた
[0:27:35] tomatoma19: マルザキャリーや
[0:27:56] legitfroggy: 影響力
[0:28:11] maguroud: マルザさん40秒でULT上がるのやめてくれませんか？
[0:28:39] レイムゥ: ウルト早すぎる
[0:28:45] legitfroggy: 40秒で支度する男
[0:29:04] 1ced1sky: 少し昔にダメージ即座に出るようになったの偉い
[0:29:39] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:29:48] ぱと_らっしゅ: ；；
[0:29:50] kuruton2007: メジャイ；；
[0:29:52] ドラピ: 1個26円の価値がそのへんに落ちてるもんなそら拾うよね
[0:29:56] oba_q: メジャイはフラグ
[0:30:00] sannma_pie: 25保持できてるの見たことないかもです
[0:30:03] lasagma00: メジャイも燃え殻もなくなっちゃった...
[0:30:33] ドラピ: スレッシュの魂って拾われないの！？
[0:30:36] kaninomisoni: これ事故ってないか？
[0:30:38] legitfroggy: なんか
[0:30:48] ぺろぺ: あれ
[0:30:50] kurou_crunn: なんかじゃない？
[0:30:51] sonic0023755390: シャドフレエズだ
[0:30:58] ぱと_らっしゅ: ぐらぐらぐら
[0:31:02] ユーミ本人: いやまさかね
[0:31:07] ぺろぺ: 固かったらおかしいかも
[0:31:10] ドラピ: 固くてたまるか
[0:31:20] 1ced1sky: 硬くしてダメージも出せるようにしたらプロであばれるのでね..
[0:31:27] ぺろぺ: やはりスウェイン最強化
[0:31:35] kaninomisoni: や、やばい
[0:31:42] nukmor: 薄い本は処分よ～
[0:32:09] 1ced1sky: 昔のタンクトップエズとかあたおかだったなぁ..
