[0:00:18] yayakoxx: おはようござます
[0:00:19] ウィングマンらいや: HypeHai
[0:00:32] prodbigfanboy: YO
[0:00:33] もあちん: おはけんき
[0:00:34] iv0511: こん
[0:00:35] のっと__: おはようございます
[0:00:35] wxvlx_666: わあ
[0:00:35] tatamin0: YOYO
[0:00:35] futa05: おはよう
[0:00:36] mukei6031: こんけんき
[0:00:36] たおかん05: こんけんき
[0:00:37] a10_smsrw: こんけんき
[0:00:37] basho2022: にょっす
[0:00:38] akisa_08: おはよ
[0:00:38] fuzino_udon: こんけんき
[0:00:39] こーらるキメ男: こんけんき
[0:00:39] pasutel097: むしょくのけんきおいすおいす
[0:00:39] hibari_1104: こんけんき
[0:00:39] ruizz1124: konn
[0:00:40] ojalmal: kenkiLicence0 kenkiLicence0 kenkiLicence0
[0:00:40] murasima: けんこんき
[0:00:40] はまオジ: おはんよ
[0:00:41] suri_pi: おっす
[0:00:41] 名無し333: こんけ
[0:00:41] jagabutterlemon: おはけんき
[0:00:41] yuuki_tnk: こんけんき
[0:00:41] 春川じんた: おはようございます
[0:00:42] オレンジ野郎: こんけんき
[0:00:42] レオ26: おはよう
[0:00:42] sh_yc: おはようございます、lolはありますか？
[0:00:42] ルフ0: こんけんき
[0:00:43] naruhayadeoke: こんにちは
[0:00:44] タグティーン: おはようございます
[0:00:44] supetti: こんけんき
[0:00:45] 昆布畑: こんけんきー
[0:00:45] ruizz1124: うんち
[0:00:45] kuma_house: こんけんき
[0:00:46] 名無し333: 初手デイリー
[0:00:47] comtan0619: おはようなのだ
[0:00:48] ツイッチ表示名: 開幕トイレ
[0:00:48] wxvlx_666: こんけんき
[0:00:50] ぺんニキ: おはんよ
[0:00:50] daapto: おはようございます
[0:00:51] manativ7: yoshin26Fun
[0:00:51] たこのあお: こんけんきですー
[0:00:52] 昆布畑: デイリー
[0:00:52] ねめちゃ: こんけんき
[0:00:53] はいじんちゃん: はやいな
[0:00:55] suri_pi: うれしょん
[0:00:57] hibari_1104: もういない
[0:00:57] かもにっく: こんけんき
[0:00:57] shinku1717: にょっすー
[0:00:57] ai19__: こんけんき
[0:01:11] fuzino_udon: 無
[0:01:12] p004444: こんこんき
[0:01:14] wxvlx_666: 無
[0:01:15] inulove_: カメラ替えた？
[0:01:16] kanipan07: こんけんき
[0:01:17] nozzo_nicotwitch: 無職けんきおはよう
[0:01:20] takahashi_png: WutFace
[0:01:21] 昆布畑: 早漏
[0:01:25] てべじ: けんけんき
[0:01:30] fuzino_udon: kenkiTira
[0:01:31] wxvlx_666: 螺旋階段 カブトムシ
[0:01:32] haru_blue34: けんけんき
[0:01:32] mumr4: おはやう
[0:01:36] yuzuyuzu__: どこいった〜？
[0:01:37] 8818papaiya: 俺もうんちしてくるわ
[0:01:38] reiya88: こんけんき
[0:01:39] そいぺ: こんけんき
[0:01:39] oresannkunn: アン
[0:01:44] haru_blue34: おはけん
[0:01:47] たこのあお: 下から来るぞ
[0:01:50] tyokihami: ッ///
[0:01:51] pasutel097: かぶとむしのタルト
[0:01:53] takahashi_png: ついに見えなくなったか‥
[0:01:54] kanipan07: おはよ〜^^
[0:01:55] reiya88: けんけんき
[0:01:55] morimori03020320: こんけんき。正直者にしか見えないけんき？
[0:02:02] みんぐど: むしょけんき
[0:02:04] wxvlx_666: トイレへの道
[0:02:05] syuimee: こんけんき
[0:02:05] mumr4: ジョット
[0:02:07] kurusyuta: こんけん  いねぇ！！！！！！！
[0:02:07] fuzino_udon: かるびみておくか
[0:02:08] takuro_o: トイレ行ってくる
[0:02:09] 悪熊: こんけｎ
[0:02:14] tyokihami: #
[0:02:14] kanipan07: 無職になって無色にもなったか
[0:02:17] himadesun: こんけんき
[0:02:18] 8818papaiya: ニートには見えないけんきだよ
[0:02:18] syuimee: デイリー
[0:02:20] こばやし___: こんけんき
[0:02:21] hiyokko3: けんき…どこ…
[0:02:22] reiya88: ムショ暮らしのけんけっきー
[0:02:24] basho2022: 透過で消えてるだけなんだよねこれ
[0:02:24] 激ローメタモン: 俺もうんこなう！
[0:02:25] kurusyuta: うんけんき？
[0:02:29] takahashi_png: がんばれ♡
[0:02:32] syuimee: きちゃ
[0:02:37] takuro_o: 退職記念
[0:02:38] kanipan07: けんき.png
[0:02:39] morimori03020320: これ実は見えてないだけか
[0:02:40] syuimee: 遅い遅い
[0:02:45] hibari_1104: 手打ち来たw
[0:02:45] 8818papaiya: 荒らし遅いぞもっと本気出せ
[0:02:47] pasutel097: トイレ行くならもう少しあとにww
[0:02:53] ruuuuuika: こんにちは初見です
[0:02:55] ぺぷすぃ: おかえり
[0:02:56] kanipan07: 止まるんじゃねえぞ
[0:02:56] morimori03020320: うわでた
[0:02:58] reiya88: おはけんき
[0:02:59] オレンジ野郎: デイリー帰還
[0:02:59] chiwawag: こんけんき
[0:02:59] kanipan07: おかwり
[0:02:59] tatamin0: うれションおかえり
[0:03:01] syuimee: 頑張れ❤️
[0:03:01] ストーン石田: こんけんき
[0:03:01] たこのあお: 声も周波数合わないだけだもんな
[0:03:02] 昆布畑: おかけんき
[0:03:02] haru_blue34: さんけんき
[0:03:03] だいもん_: 飼育員さん帰ってきた
[0:03:03] hibari_1104: おかえり
[0:03:04] syuwasyuwa3150: おかえり
[0:03:05] kanipan07: おかわり
[0:03:06] keishirou77: おはけんき
[0:03:06] ti1128: おれ居なくてもこんな集まるんやなーとか言いそう
[0:03:07] m4rimo_1217: おか
[0:03:08] kyabumaru_jjblash: 牛肉 ルー 人参 玉ねぎ ジャガイモ ナツメグ りんご
[0:03:09] fuzino_udon: おかえり
[0:03:09] tanukitu_1: こた
[0:03:09] ayayan11: おかえりー
[0:03:10] takahashi_png: ｵﾊﾝﾖ
[0:03:10] yuzuyuzu__: おかえり
[0:03:10] komyu_www: こんけんき
[0:03:10] wxvlx_666: うれしょん？
[0:03:10] pasutel097: 左から来たな
[0:03:11] 8818papaiya: おかえんり
[0:03:12] みんぐど: おかけんき
[0:03:13] takuro_o: こんけんき〜      ずん太郎    250円
[0:03:14] mukei6031: おかえり
[0:03:18] オレンジ野郎: 手打ち遅いわね
[0:03:19] kurusyuta: しょんけんき
[0:03:23] dddschool: dddschool subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! けんきさんみたいに大金募金はできないので水曜から被災地支援に行ってきます
[0:03:24] you444c6: こんけんてい
[0:03:27] りんねこー: こんけんき
