[0:00:26] ryokucha112233: やあ
[0:00:28] astonage: こんけんき
[0:00:29] sugi__mountain: でっか
[0:00:29] meloso___: こんけ
[0:00:30] iv0511: こんけんこ
[0:00:31] ウニばあす: こんけんき
[0:00:32] noribentar0u: おはよ
[0:00:32] とどちゃん: おはけんき
[0:00:33] アラベスク高田: こんけ
[0:00:33] みわ5: うんけんき
[0:00:34] オレンジ野郎: こんけんき
[0:00:34] ザリガーノ: でっか
[0:00:35] ぜろさん8849: こんけんき
[0:00:35] まぐろさん_: こんけんき
[0:00:35] オレンジ野郎: わぁ
[0:00:36] morimori03020320: でかうんこ
[0:00:36] ゴンザレス竹林: こんけんき
[0:00:36] kei55230: 開幕うんこw
[0:00:36] bazz710: こんけんき
[0:00:36] はちみつキャビア: でっか
[0:00:37] mell___m: こんけんきー
[0:00:37] シーーズ: くそでかうんこ
[0:00:37] ygskayy: うんき
[0:00:38] オレンジ野郎: でっか
[0:00:40] petbottle429: うんけんき
[0:00:40] carry_on_my_way: うんけんき
[0:00:40] はいじんちゃん: 斬新
[0:00:40] nomi43: でかうん
[0:00:42] 塩辛いカラスミ: おはうんき
[0:00:42] manzu1010: でつが
[0:00:42] アラベスク高田: うん……こ？
[0:00:42] 赤カブト: うんけんき
[0:00:43] がはは_: なんで枠開く前に行かないんだwww
[0:00:43] dendeguri: ぷり
[0:00:43] Otya_88: こんにちは
[0:00:43] てべじ: 開幕うんこ
[0:00:45] ゴルゴンゾー: こんけんき
[0:00:45] オレンジ野郎: デイリー
[0:00:48] kuragary: 先に行け
[0:00:48] シーーズ: もはやオシャレ
[0:00:49] meloso___: どうしたの？w
[0:00:49] urara1111: こんけんき
[0:00:50] さかさま赤ずきん: けんうんき
[0:00:52] 昆布畑: 初手運嫌気
[0:00:53] luke_cloudy: 💩？
[0:00:54] 赤カブト: こたけんき
[0:00:56] bazz710: 枠開く前に行こうよw
[0:01:01] mokkun_orcs: こんうん
[0:01:02] らるり: こんけんき
[0:01:03] udoname_2335: こんけんき
[0:01:08] たこのあお: こんけんきーでーす
[0:01:09] morimori03020320: 様式美
[0:01:10] hamuta_fl: dasokuOwl11 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl33
[0:01:13] ぱれっとクオリア: 初手unko草
[0:01:14] うーぱぁーるーぱぁ: きんけんこ
[0:01:14] にゃはん212: ブピュ
[0:01:14] manzu1010: 一週間の始まりはうんこ
[0:01:19] 塩辛いカラスミ: これする暇あるならうんこ出来ると思うけどな
[0:01:23] sin_key_law: こんでっか
[0:01:28] ちょも_125: うんこんけんき
[0:01:32] meloso___: うんこんき
[0:01:36] morimori03020320: うんこまんけんき
[0:01:41] matrix_025: 💩けんき
[0:01:42] しゅしょ: けんきうんこ
[0:01:45] ねめちゃ: デイリー
[0:01:46] ぱれっとクオリア: 頼むから始める前にうんこしてくれ
[0:01:49] アラベスク高田: なんかのMVのサムネにありそう
[0:01:56] applejuice1217: それはそう
[0:01:58] basho2022: 開幕うんこは草
[0:01:59] kei55230: うんこしてる間に視聴者集まるから合理的ではある
[0:02:03] タラコの素: なんで毎回配信開始してからなん
[0:02:06] hiyokko3: 汚いものなのになんかかっこよくみえるフォント
[0:02:13] ph11zyr: うんこ集客術？
[0:02:18] sin_key_law: Vだって視聴者集めるために映像流すだろ一緒だよ
[0:02:24] デュタ: でっかいうんこだなぁ
[0:02:25] はいじんちゃん: これが戦略です
[0:02:33] たおかん05: んこダイスやりたくなってきたぁ
[0:02:34] ぱれっとクオリア: 毎日フォント変わったらウケる
[0:02:34] meloso___: うんこ中のけんきの顔見たいな
[0:02:34] しゅしょ: うんこ民たち
[0:02:37] 村人の民: これがOPなん？
[0:02:38] ヴァロシニア: 昨日の夜はえなこりんにしたよ
[0:02:41] てべじ: うんこに群がる視聴者
[0:02:43] 嗚呼ああ: ここまで汚いコメ欄もなかなかない
[0:02:43] mell___m: トイレ配信？
[0:02:47] bgfvhbvg: おはよう
[0:02:52] tdn_ndt: 配信開始前にトイレ行っとけ
[0:02:54] jinjin0908: うんこうんこ
[0:02:55] うーぱぁーるーぱぁ: 何かメッセージが込められているのかな
[0:03:00] yuzaooooo: 開幕UK
[0:03:00] daapto: おはようございます
[0:03:01] みわ5: うん
[0:03:08] アラベスク高田: こ
[0:03:14] hiyokko3: 文字見てたらなんか排出したくなったわトイレ言ってくる
[0:03:14] daapto: ダイスのゲームかと思った
[0:03:15] jinjin0908: う
[0:03:15] yuzaooooo: っこ
[0:03:16] お人形ちゃん: お人形ちゃん is gifting 5 Tier 1 Subs to けんき's community! They've gifted a total of 10 in the channel! 
[0:03:16] ajiaji810: 広告終わったと思ったらなんだこれ
[0:03:16] お人形ちゃん: お人形ちゃん gifted a Tier 1 sub to ymniku! 
[0:03:16] お人形ちゃん: お人形ちゃん gifted a Tier 1 sub to はた_5! 
[0:03:16] yuuka_japan: 初見です。
[0:03:16] お人形ちゃん: お人形ちゃん gifted a Tier 1 sub to ywk4j! 
[0:03:16] お人形ちゃん: お人形ちゃん gifted a Tier 1 sub to ade2341! 
[0:03:16] お人形ちゃん: お人形ちゃん gifted a Tier 1 sub to ゆーやすん! 
[0:03:20] たおかん05: この文字を横にすると？
[0:03:21] みなみのハナ: unkochanYaa unkochanYaa unkochanYaa unkochanYaa
[0:03:22] オレンジ野郎: 俺も迎合してうんこするわ
[0:03:25] みわ5: kenkiWaa
[0:03:26] たおかん05: kenkiWaa kenkiWaa kenkiWaa
[0:03:27] kaith_17: ダイスのかと思ったww
[0:03:27] daapto: kenkiWaa
[0:03:29] matrix_025: kenkiWaa
[0:03:30] タラコの素: なんか音楽聞こえるの俺だけ？
[0:03:32] tdn_ndt: kenkiWaa kenkiWaa
[0:03:34] obiwan501501: カップ麺取り行った？
[0:03:35] petbottle429: kenkiWaa kenkiWaa kenkiWaa
[0:03:41] たこのあお: 連れフン
[0:03:46] metal_sasami: koushi5Clean koushi5Clean koushi5Clean koushi5Clean koushi5Clean
[0:03:47] おもチ: みんな雪どんな感じ?
[0:03:54] bazz710: なっが
[0:03:56] kaith_17: たしかに何か流れてますね
[0:03:57] rokurokusou: こんけんき
[0:03:59] みなみのハナ: ふんばれー！
[0:04:01] たおかん05: 今から東京行くんですけどやばそう？
[0:04:04] 赤カブト: けんきのうんこに５００人集まるって
[0:04:05] オレンジ野郎: まだ降ってないよ
[0:04:07] jinjin0908: うんこ
[0:04:07] みわ5: まだ降ってない
[0:04:09] mayumitaimu: まんいtっ
[0:04:13] obiwan501501: 全然降らん
[0:04:15] matrix_025: 痔ですか？
[0:04:16] アルコール中毒者: ゆ…き？
[0:04:20] 村人の民: うんこ降ってきた
[0:04:20] オレンジ野郎: 東京まだ降ってないから安心なされ
[0:04:23] ふみふみと: 降らないけど寒い
[0:04:24] みなみのハナ: ふんばれ！ふんばれ！
[0:04:24] kou0925: 結構降ってる
[0:04:26] てーヘん: こんけんき
[0:04:28] zorryffy: ローマ字でUnkoってなんかオシャレ
[0:04:29] みわ5: 雪のようなうん
[0:04:30] アラベスク高田: 雪ってなに？（沖縄
[0:04:31] たおかん05: やったぁ‼️
[0:04:31] kqizi_525: こっちは積もっとるで
[0:04:32] metal_sasami: 横浜はもうドカドカ降ってるぞ
[0:04:35] luke_cloudy: 結構ふってる
[0:04:37] 仲根にど: エモいMVの始まりみたいなクソデカUNKO
[0:04:38] タラコの素: 夕方から朝にかけてやばいらしいからまだ大丈夫じゃない？
[0:04:42] そいぺ: 田町は小雨がパラついてる
[0:04:45] しゅしょ: 雪ときどきうんこ
[0:04:46] たおかん05: こなーゆきーねぇ
[0:04:46] meloso___: ここのコメ欄いる人外出ないから雪関係ない
[0:04:47] kou0925: 群馬結構降ってる
