[0:00:05] おぼです: A
[0:00:34] ojalmal: おいす
[0:00:38] ぷーくま: おいす
[0:00:39] Ojory_take: おいおいおいおいす
[0:00:41] ヒヤヤッコォ: おいす
[0:00:44] るべらいと: るべらいと subscribed at Tier 1. They've subscribed for 7 months! おいす
[0:00:45] yamada_gg: ADCがんばれ～ uggHAGE
[0:00:46] hurt_pubg: おいすおいす
[0:00:46] さすらい777: ヨーヨーヨー
[0:00:47] financier29: おいすおいす
[0:00:47] ユーエル: おっぼ
[0:00:48] twitch_kfcsan: ヴァルスええやんおいす
[0:00:51] ぷーくま: the k4senがんばれええええ
[0:00:53] byakuya0103: おいす
[0:01:00] gobutake01: obosanHi
[0:01:02] tomi600319: karubisKeiba
[0:01:02] tsukareta112: まずいかまずいか
[0:01:04] Jinbay_jp: おいす
[0:01:06] 月光の祈り: おいす、キャリーしてる姿楽しみや
[0:01:09] mochan_a: obosanHi￼ obosanHi
[0:01:13] ひるるく: ひるるく subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! おいすー
[0:01:14] さすらい777: 乾殿のパクリ！？
[0:01:16] PrePreaim: ﾉｱｰにご飯食べさせてもらうって聞いたんですけど
[0:01:17] p004444: おいす
[0:01:19] ぷーくま: ヤスオやろう
[0:01:24] ggglantz: 美女役ですか
[0:01:25] yui6325: ノアー
[0:01:29] okaeriko: リッキーのおはようモノマネもう終わっちゃった？
[0:01:30] twitch_kfcsan: いいねwwww
[0:01:32] genmybrown: おいすおいす
[0:01:33] yamada_gg: OBCarry
[0:01:35] masayatown1104: おいす、カリスタやろう
[0:01:35] a_nans: おいすおいす
[0:01:38] 月光の祈り: マークスマンの操作は身体全然馴染んで無さそうｗ
[0:01:38] ぷーくま: だな
[0:01:39] pipipipen: obosanOi￼ obosanSu
[0:01:44] serori2222: おいすおいす
[0:01:47] erism_520: 特大キャリー期待してる
[0:01:53] ぷーくま: 最後のチャカはサイラスタリックでね
[0:01:55] lime051101: ヴァルス練習しても取られますよ
[0:01:56] nbcccx: ヨネadc普通に強いよ
[0:01:57] genmybrown: サモリフの名誉赤ちゃんデビューです、か
[0:02:00] らびきら: 応援してるぞ~
[0:02:06] 純半ケツのぷりンス: aキー連打や
[0:02:10] yamada_gg: エズとかジンとかは？
[0:02:11] Ojory_take: 野獣がんばれ
[0:02:13] ayukunddd: のあちゃんとduobotか
[0:02:16] twitch_kfcsan: エズ今かなり良いもんね
[0:02:17] ぜんちゃん: スモルダーやらないか？
[0:02:18] financier29: 激昂のおぼ
[0:02:20] yui6325: ニーラタリック出ることありますか？
[0:02:23] neron__234: ニーラやらないか？
[0:02:23] lime051101: うん
[0:02:31] さすらい777: エズMFヴァルスか？
[0:02:32] ぷーくま: ニーラワンチャンあり
[0:02:37] vg7wr: おいす
[0:02:38] twitch_kfcsan: スタック
[0:02:38] neboo_: WはQ当てるとき
[0:02:44] yamada_gg: 象先輩と同じピックプールになりそう
[0:02:50] 月光の祈り: 殴るだけで追加ダメージもある
[0:02:53] ぜんちゃん: ダミー殴ると周りになんか丸いのが出るのがw
[0:02:55] a_nans: Q強化とスキル当てた時に割合ダメージ入る
[0:03:12] さすらい777: Wは自動効果でAAのスタック、発動効果でQの強化
[0:03:19] fuduki_25: アフェリオスやろうぜ
[0:03:21] ぷーくま: ゼラス味を感じる
[0:03:21] ニボシ: ヴァルスはかなり強い
[0:03:25] dorade40: おまんま食わせてもらえるらしいな DinoDance
[0:03:31] masayatown1104: ニーラやらんか？
