[0:00:18] 祖国のために: ハイサイまいど
[0:00:27] dilyonatyan: PopNemo
[0:00:27] oioiAoixxx: おじゃです
[0:00:30] gobogobou: 配信感謝
[0:00:30] 怠惰00: うおおおおお
[0:00:32] 筍土竜: ぽんさんだ！おじゃ！
[0:00:34] Yomi1341: おじゃです
[0:00:36] tridentatus: ぽにひょんおじゃ〜
[0:00:39] うる2810: おじゃです！
[0:00:39] 筍土竜: 動画4本目おめ
[0:00:40] ALO_555: おじゃ〜
[0:00:40] くりあ: FallWinning
[0:00:42] yagamirenjp: うおおお！配信感謝あああ
[0:00:57] maisonligera: おじゃああああああ
[0:00:59] miruri_05: mmhOtsu yutaponThx
[0:00:59] ちじゅ: こんばんわー
[0:01:02] gggajettto110: 登録者1万人おめでとうございます
[0:01:02] tktkappaking: 動画で文字アップで取り上げるとき名前は取り上げるのやめませんか？
[0:01:03] マグナです: yutaponThx yutaponThx yutaponThx
[0:01:07] joozlk: おじゃ
[0:01:10] もぐらトマト: yutaponKamiyure
[0:01:12] ナスくん: おじゃｗ
[0:01:15] popontapon: ぽんさんおじゃ〜♪
[0:01:22] popontapon: Cheer100
[0:01:23] ヒサツグ: yutaponKami
[0:01:23] ナスくん: いいよ
[0:01:34] ALO_555: www
[0:01:35] 怠惰00: こわい
[0:01:36] ナスくん: こわいなあ
[0:01:37] ごまむぎちゃ: 配信感謝 yutaponKami yutaponThx
[0:01:39] miruri_05: w
[0:01:42] tktkappaking: 楽しそうじゃん
[0:01:44] ヒサツグ: 疲れてるのよ
[0:01:49] gismojp: わこつ
[0:01:50] tnbchan2: なんかたくさん喋ってる～
[0:01:53] おさんぽ: おじゃADC動画ついに出ますか
[0:01:54] マグナです: ギズモさんみたい？
[0:01:57] Malygos0210: ADCの動画だけ異常に伸びなくてオフメタチャンプchに移行、あります
[0:01:59] yagamirenjp: 金曜だからちょっと飲んだだけかもしれない
[0:01:59] tridentatus: すっげぇ…
[0:02:01] 筍土竜: 今日はADCの動画撮る日ですか？
[0:02:01] ナスくん: まずい
[0:02:01] octa03: チャンネル登録1万人の大物YouTuberゆたぽんさん おじゃです
[0:02:01] しとりん: 配信でADCやるなんて…変なもの食べました？
[0:02:05] member01: member01 subscribed with Prime. They've subscribed for 8 months, currently on a 1 month streak! 
[0:02:12] tktkappaking: 授業中歩き回ってそう
[0:02:22] joozlk: joozlk subscribed with Prime. 
[0:02:33] untiburyunhirude: にょっす🐮✋
[0:02:37] fizzzsupport: うおおおおおおおおおおおお
[0:02:47] tamura1234: これミッドしんもりさん？
[0:02:51] yuko676: ぽんさん、おじゃ
[0:02:54] tiploma: a
[0:03:08] tktkappaking: 動画用にカリスタのティップス言いませんか？
[0:03:32] マルい: こいつ実は女です
[0:03:33] ちゃーちゃ: 今ADC最強ってやっぱりユーミガレンですか
[0:03:38] Malygos0210: AAのときにステップが踏めるぞ！
[0:03:47] ソソ: 女マ？
[0:03:50] manobears: おじゃ
[0:03:52] saichan1114: ぽんさんこんばんは！
[0:03:53] マグナです: なんでカリスタ青く光ってるんですか？
[0:03:56] ALO_555: ゼリ復権ありますか
[0:04:06] pluun24: mmhKon mmhKon
[0:04:07] irohasu8765: ぽんさんおじゃ
[0:04:08] 怠惰00: お～ｗ
[0:04:09] tktkappaking: フロハ流行ってる環境だとカリスタストレスありますか？
[0:04:22] fizzzsupport: 難しいけど実はみんなが思ってるよりは操作が難しくない
[0:04:33] kiminari1: ぽんさんおじゃ
[0:04:57] seryuse: おじゃ
[0:05:05] tktkappaking: サイラスがプライドだして死ぬ気がする
[0:05:09] 白石真白: おじゃ
[0:05:21] jagabee_oisi: ADCやってるのはじめてみた
[0:05:34] nqn0v0: このひとADC出来るの？
[0:05:43] aezaser: おじゃ
[0:05:44] 筍土竜: YouTubeのコメントにハート付けてんのってポンさん本人なの？
[0:06:11] elshadd0llshekh1naga: こんばんは
[0:06:23] tintakunex: 気合の入ったフラッシュ
[0:06:28] tktkappaking: このタリック全部に全力ですね
[0:06:32] kastieri: おじゃっす やっぱりbotメインレーンじゃないから大変そうっすね笑
[0:06:33] まお123: おじゃですADC感謝です
[0:06:34] ナスくん: ゆうたはあんなまめなハートをしない
[0:06:39] fizzzsupport: よくカリスタしながらコメント読めるなw
[0:06:40] Malygos0210: ぽんさんだったら解釈違いだったのでよかったです
[0:06:43] teitei110: 配信感謝
[0:07:14] aezaser: カリスタのE2回連続でだすやつってタイミングわからないんだけどコツありますか？
[0:07:41] ke5ed9: おじゃ
[0:07:49] ナスくん: この人タリックサポ専なんだすげえ・・・
[0:07:57] kiminari1: kiminari1 subscribed with Prime. They've subscribed for 20 months! 
[0:07:58] あしゃ: yutaponKamiyure yutaponKamiyure yutaponKamiyure
[0:08:10] ktrbm: ユタリスタ・ユトレヒト
[0:08:34] tgrcw: ADCチャンネルと聞いて失礼します
[0:08:50] tintakunex: Wは取らない感じですか？
[0:09:07] shaiant: ぽん３おじゃです
[0:09:17] teitei110: あぁ・・
[0:09:20] ALO_555: シェアハピ
[0:09:24] tnbchan2: おやつつまみ食いされた
[0:09:25] RinLinP: 果実泥棒
[0:09:28] seryuse: 気まず
[0:09:32] tktkappaking: タリアのリコールみて悲しいですか？
[0:09:35] 怠惰00: フルーツ食って帰るんかい
[0:09:38] fizzzsupport: 帰るんかいw
[0:09:39] shaiant: タリヤの体力ping
[0:09:44] natch358: the k4senお疲れ様でした
[0:10:24] ふう_: はいさいまいど、もう聞かれてそうだけどゼリ触りました？
[0:10:29] elshadd0llshekh1naga: ｗ
[0:10:33] teitei110: 反応に困るのやめて
[0:10:34] ナスくん: 電脳化おつでした
[0:10:36] ktrbm: ゼリまたウザくなってる
[0:10:36] RinLinP: コーチのコーチ
[0:10:37] nigakikagin: ｗ
[0:10:39] do_the_pop: ぽんさんわこつです！！ カリスタ参考にさせてください！
[0:10:42] applepie1428: ポン部
[0:10:44] etekaw: 結局スモルダーってとっぷみっどぼっとどこいけばいいですか？
[0:10:52] ごまむぎちゃ: BloodTrail
[0:10:52] PlooonN: サイオンガレンのループはしないって言ってたのに何で嘘ついたんですか
[0:10:55] 本栖湖: 本部って本当にポン部
[0:11:03] ナスくん: じゃあ全部あれまふゆさん！？
[0:11:11] yagamirenjp: ミッドじゃなくてトップなのか
[0:11:18] zanqqqqq: セ・・
[0:11:19] ktrbm: ボットで225貯まるまで待つチャンプって認識
[0:11:20] fizzzsupport: これはまだ答えなくていいんですけどcさんでしたか？
[0:11:26] gobogobou: 吉
[0:11:51] tktkappaking: エドがダッドリーのダッキングもってるらしいですけど替わりになりますか？
[0:12:04] natch358: ストライド変更でガレンは変わりました？
[0:12:10] conquer256: こんばんわ 今日は珍しくADCやってるんですね
[0:12:12] mdgtricky: こんばんわ
[0:12:14] ktrbm: 王剣なんだ
[0:12:27] ナスくん: フェイズ発動するようになったからすごいつよいよ
[0:12:35] はんきー: ぽんさんおじゃです
[0:12:36] ナスくん: やべADCやる気なくなるわ
[0:12:36] joozlk: yutapon ～サイオン＆ガレン～チャネル
[0:12:43] rree1016: 動画の素材集めの義務adcですか？
[0:12:47] ひとま: おじゃ
[0:12:54] fizzzsupport: ADCなんてパッチで変わり映えしないレーンなんて動画化せずにガレンとサイオンやろうよ
[0:13:10] tksss_: プレート食べ放題
[0:13:21] PlooonN: 味方勝ってて独りで食うプレートがいっちゃんうまいんだから
[0:13:23] ktrbm: botレーンに日替わりのアトラクションでも作るか
[0:13:29] tktkappaking: ガレンとサイオン使いがチャンネル抜けたら5000人くらい減りそう
[0:13:32] tnbchan2: プレートうまいだぎゃ～
[0:13:36] 筍土竜: 普通にポンさんがガチでADやってるとこは見たいけどな
[0:13:41] 本栖湖: すげ
[0:13:42] replus66: うますぎわろた
[0:13:43] elshadd0llshekh1naga: スキル2個だけなんで管理楽そうですね
[0:13:46] daredare33: 覚悟のダイブ
[0:13:47] tktkappaking: ナイスすぎ
[0:13:49] ikanyanban: ワース
[0:13:49] yagamirenjp: 心中した
[0:13:50] ktrbm: 前に歩かせるためのQ
[0:13:51] nyarss12: このチャンピオンチョガスみたいにキルライン見えたらいいのに
[0:13:55] nigakikagin: こっちはめっちゃ殴ってるのにｗ
[0:14:18] ナスくん: 普通にぶっ壊れチャンプになりそう
[0:14:21] インペリアルデグー: あれあるとだいぶ勝率あがりそう
[0:14:26] ソソ: キルライン表示させるのriot好きなのに
[0:14:27] fizzzsupport: 流石にじゃない
[0:14:29] 本栖湖: チョガスがいいならいいと思うけどな
[0:14:29] ALO_555: ガレンもキルライン出して欲しい
[0:14:32] seryuse: ガレンも表示してくれい
[0:14:35] kttk1130: ガレンくんかわいそう
[0:14:36] _めるる_: BOTチョガスしましょう
[0:14:39] ochibl: trueダメージじゃないからダメージ計算的に影響大きそうだけど
[0:14:43] joozlk: 赤く光る
[0:14:46] しはいちゃ: おじゃ新キャラの恐竜みたいなの使った感想どうですか
[0:14:51] yagamirenjp: それならガレンも切るライン表示してほしい
[0:15:05] eru_aw: trueじゃないならシールドとかいろいろ計算大変そう
[0:15:08] パンダの煮つけ: おじゃ
[0:15:09] ikanyanban: 計算式複雑すぎてバグのオンパレードになりそう
[0:15:19] tktkappaking: ミランくん嘘ついたってことですか？
[0:15:20] ひとま: トリンダメアは表示してほしそうにしてる
[0:15:26] numk2: ガレン好きな人って意外といるんだな
[0:15:29] ジェープロ: ジェープロ subscribed with Prime. They've subscribed for 3 months! 
[0:15:36] ルーティン: おじゃ DinoDance
[0:15:36] mdgtricky: きまず
[0:15:40] 筍土竜: ピカーン
[0:15:59] shaiant: うま
[0:16:00] ディガル: うっま
[0:16:00] ひとま: うおおおお
[0:16:01] 本栖湖: うめ～～～～～ｗｗｗ
