[0:00:21] ramineoro: よ！
[0:00:27] tony_tgr: よお
[0:00:27] sora1673: よお
[0:00:28] 朕は沢田: よお
[0:00:28] 12272006_: よ
[0:00:29] しめじ茸: こん
[0:00:34] つっきー3355: よぉ
[0:00:35] thiru_sudyn: よお
[0:00:35] はりぷ: よお
[0:00:35] japangg_gg: こんにちは^_^
[0:00:35] dorujichan: なにわろてんねん
[0:00:35] kyuri_11: よお
[0:00:36] やまだのやまやま: よよ
[0:00:36] うぇいよーー: よお
[0:00:36] kenjaaaaa1192: よぉ
[0:00:36] はせのしん: よお
[0:00:37] bio11__1: よお
[0:00:37] 世田谷区: よお
[0:00:38] あきあきふゆふゆ: よお
[0:00:38] むつっきー: よぉ
[0:00:40] kajokajoka: よー
[0:00:40] ほしすたいる: よお
[0:00:42] tanakeeen: わぉ
[0:00:42] monakaxyz: よおお
[0:00:43] sabachann123456: よお
[0:00:45] やまけ: よお
[0:00:51] なっせー: よお
[0:00:51] iranai02: ゼルダの伝説が
[0:00:51] drac0o2: よお
[0:00:52] tanakasany: こんにちは〜
[0:00:53] メルドン: よお
[0:00:53] monakaxyz: ニヤついてんな
[0:00:57] as_desu: よお
[0:00:57] ピーまん: よ
[0:00:59] ざきざきざき: コーチお疲れ様
[0:01:02] つっきー3355: 何で笑ってん？
[0:01:11] あきあきふゆふゆ: なに？
[0:01:11] はりぷ: いいよ
[0:01:12] 呂布カルパス: よお
[0:01:12] 世田谷区: ！？
[0:01:12] hasea1219: ええよ
[0:01:13] as_desu: ん？
[0:01:13] lelelele4415: よお
[0:01:14] novanew99: なになに？
[0:01:15] monakaxyz: なんふぁ
[0:01:17] つっきー3355: ？
[0:01:17] むつっきー: ん？
[0:01:18] tanakeeen: お？
[0:01:19] ねぎねぎ: 新しい髪形？
[0:01:19] kyuri_11: お
[0:01:19] ピーまん: お
[0:01:20] novanew99: 友達w
[0:01:20] dorujichan: たかや？
[0:01:22] as_desu: みして
[0:01:23] ミりン: 友達？
[0:01:23] はりぷ: い
[0:01:23] つっきー3355: お
[0:01:25] むつっきー: おおおお！？
[0:01:27] はりぷ: みたい
[0:01:29] ねぎねぎ: ブランカちゃん人形か
[0:01:29] あきあきふゆふゆ: 友達？
[0:01:29] るかる: よ
[0:01:29] monakaxyz: 見して欲しい
[0:01:30] やまだのやまやま: みたいなー
[0:01:33] as_desu: 友達はいいだろ
[0:01:35] つっきー3355: 見せろ
[0:01:36] corgi_green: みたい
[0:01:40] 呂布カルパス: みせろ
[0:01:48] ミりン: ！？
[0:01:48] novanew99: え！？
[0:01:49] as_desu: www
[0:01:49] メルドン: え
[0:01:49] ピーまん: ！？！？！？！？
[0:01:49] ゆりぴっぴ: え
[0:01:50] iranai02: 草
[0:01:50] yoooooowwwe: えぐwww
[0:01:51] つっきー3355: え！？
[0:01:51] 世田谷区: すっご
[0:01:51] corgi_green: wwwwwwwww
[0:01:51] novanew99: やば
[0:01:51] tarutiki4: wwww
[0:01:51] moukuso: ！？
[0:01:51] あきあきふゆふゆ: ！？
[0:01:52] sabachann123456: うおおおおおお
[0:01:52] やまだのやまやま: え
