[0:00:17] mci_foden: にょっす
[0:00:21] 合鴨スモークの化身: ohayo
[0:00:29] sarusuberi22: おはにょ
[0:00:30] mell___m: こんけんき
[0:00:30] shinboo1460: こんけんき
[0:00:31] mukei6031: こんけんき
[0:00:31] 98op01: こんけんき
[0:00:32] iru923: おはけんき
[0:00:34] はちみつキャビア: konn
[0:00:34] ふーどこーと: こんけんき
[0:00:35] やまだニキ: こんけんき
[0:00:36] zoo_penpen: おはよー！
[0:00:36] murasima: こんけんき
[0:00:36] hiroya2227: こんけんき
[0:00:37] 昆布畑: こんけんき
[0:00:37] nomi43: こんにちは
[0:00:38] てーヘん: おはんよ
[0:00:38] ウニばあす: こんけんき
[0:00:39] se2na3: やぁ
[0:00:40] たおかん05: こんけんき
[0:00:40] _しろかみ_: こんけんき
[0:00:40] びりびり0810: こんけんき〜
[0:00:40] 2期: おはんよ
[0:00:42] junkinjaspa: こんけんき
[0:00:43] scrapcrafter25: こんけんき
[0:00:44] なつみつかん: こんけんき
[0:00:47] みわ5: こんけんき
[0:00:48] ふーどこーと: けんこんき
[0:00:48] yuzupon_san: こんけんき
[0:00:49] matttiiiiiiii1: こんけんき
[0:00:49] nattou333: こんけんき
[0:00:49] たおかん05: おはよ〜
[0:00:50] shinku1717: おはにょっす！
[0:00:54] matrix_025: こんけんき
[0:00:54] evergreen1786: こんけんき
[0:00:57] tekitoodesu: けんきんこ
[0:00:58] 花見で一杯: ワイプ小さ！
[0:00:59] maron229: こんけんき
[0:01:00] vanzi1043: kenkiDoumo0 kenkiDoumo0
[0:01:00] nikukyu72: おはー
[0:01:00] paru_tkch: おはけんき
[0:01:00] たくあん01: こんけんき
[0:01:01] ぴょんす713: こんけんき
[0:01:02] 昆布畑: なんかいつもより爽やかだね
[0:01:05] takemusou: こんばんはなのだ
[0:01:07] konishiyukinaga1558: 髪けんき？
[0:01:08] しゅしょ: こんきけんき
[0:01:08] sin_key_law: おは
[0:01:12] びりびり0810: しいん
[0:01:16] てーヘん: レクイエム!?
[0:01:16] ウニばあす: しいん！？
[0:01:17] メー太: こんにちは
[0:01:17] 昆布畑: わぁ
[0:01:19] umakuchishoyu: おはけんきっきー
[0:01:20] みわ5: わあ
[0:01:20] はちみつキャビア: レクイエム！？
[0:01:21] かもかもさん: こんけんき
[0:01:21] matrix_025: うおおおおおおお
[0:01:22] scrapcrafter25: wwwwww
[0:01:24] tekitoodesu: イケメン
[0:01:27] たおかん05: ゴールドエクスペリエすくらっちゃった
[0:01:27] ph11zyr: こんけんき
[0:01:28] みわ5: けんきがいっぱい
[0:01:28] ぴょんす713: 髪切ってかっこよくなったね
[0:01:29] musashi454: いいですね！！
[0:01:31] らずきち: こんけんき
[0:01:32] umakuchishoyu: かっけー
[0:01:35] びりびり0810: 髪型きまってる
[0:01:36] matttiiiiiiii1: 稲 荷 大 社
[0:01:36] tkmkmykn_: 髪の毛
[0:01:36] scrapcrafter25: 合わせミラーで草
[0:01:37] ruizz1124: ﾎｹﾝｷｯｷｨ
[0:01:38] paru_tkch: けんこんき
[0:01:40] kei55230: 爽やかになってる
[0:01:41] メー太: 画面キャプチャ―草
[0:01:41] mell___m: でかけんき
[0:01:51] takahashi_png: ｵﾊﾝﾖ
[0:01:53] 花見で一杯: 髪型ええやん
[0:01:55] maron229: レクイエムに攻撃されて爆笑するけんき
[0:01:58] 赤カブト: おはけんき
[0:02:07] らずきち: わぁぁお
[0:02:13] kuroame_0222: こんけんき
[0:02:14] scrapcrafter25: ほう
[0:02:15] てーヘん: ほう
[0:02:17] umakuchishoyu: ちぴちぴちゃぱちゃぱ
[0:02:18] musashi454: そうだね
[0:02:19] iru923: あー
[0:02:23] ぺろキャン: こんけんき
[0:02:24] hiyokko3: いつぶりだろうかっこいいけんきをみるのは
[0:02:27] callfield9: キングクリムゾン
[0:02:28] tekitoodesu: だる
[0:02:29] あっつん4503: こんけんき
[0:02:31] yuzupon_san: めんどくさいのね
[0:02:32] takahashi_png: めんどっちい
[0:02:32] らずきち: ぴた
[0:02:37] _しろかみ_: 配信者にしか分からない
[0:02:39] あっつん4503: かっこいいじゃねーか
[0:02:43] てーヘん: あーね
[0:02:44] 昆布畑: それシーンごとに設定できないの？
[0:02:45] yui6325: だるいな
[0:02:46] はちみつキャビア: しんじさん切り替えすごい早いからなんかコツありそう
[0:02:50] たおかん05: よく見切りてるのってそう言うわけか
[0:02:50] びりびり0810: それ配信者しかわからなくない？
[0:02:56] ふーどこーと: シーンでそれぞれ設定変えたりできない？
[0:02:57] vanzi1043: ストリームデックでどうにかできないですかね？
[0:02:59] 高めのサバ缶: なんかショートカットとか作る？
[0:03:00] musashi454: 引き伸ばす？
[0:03:01] なのつん: コピーして2つ作れないっけ？
[0:03:01] sin_key_law: もういっこカメラキャプチャ作ってみるのは？
[0:03:02] adbgaming_: マクロ的なのありそう
[0:03:04] tnk1225: こんけんき
[0:03:05] evergreen1786: 配信した事ないからわからないなぁ
[0:03:09] たこのあお: これ僕も悩んでました🤔
[0:03:10] sherlock_0921: 無限けんき
[0:03:13] 昆布畑: それかカメラ二個用意しよ
[0:03:17] shu_tai: こんけんき
[0:03:23] dokodonsta: こんけんき
[0:03:27] sin_key_law: そうなのか
[0:03:29] takahashi_png: ﾈｺﾁｬﾝ
[0:03:30] kinomoci: こんけんき
[0:03:38] tokasaaaaa: こんにちは〜
[0:03:48] メー太: 映像キャプチャのプロパティ開いて
[0:03:50] らずきち: あらぁ
[0:03:51] 096maguryo: マニアックすぎる
[0:03:52] matttiiiiiiii1: 闇に包まれた
[0:03:56] 昆布畑: へぇ
[0:03:57] eyun0512: フィルター2つ作れないんでしたっけ？
[0:03:59] 蕎麦つゆ: ほぉ
[0:04:01] ハイ_: あら～ﾈｺﾁｬﾝ
[0:04:01] zakiyoka: 美脚ぬこ
[0:04:10] scrapcrafter25: カリブー
[0:04:13] オ〇ンポス: こんけんき
[0:04:21] メー太: 解像度FPSタイプをカスタムにする
[0:04:36] てーヘん: ﾁｭﾋﾟﾁｭﾋﾟﾁｬﾊﾟﾁｬﾊﾟすればいけるよ
[0:04:45] _しろかみ_: 暗転
[0:04:52] sonefia: 無駄にフェードしながら暗転した
[0:04:54] eyun0512: あー
[0:05:18] どすこいアオハル学園: 事務所の方まで
[0:05:21] takahashi_png: 配信者じゃないから分からん
[0:05:23] _しろかみ_: 配信者に聞くのが早い？
[0:05:38] 昆布畑: いつも横に長くでもいいんじゃん
[0:05:41] takahashi_png: う〜ん
[0:05:42] てーヘん: あらら
[0:05:43] murasima: 俺等がわかるわけない
[0:05:46] _しろかみ_: うーんここ
[0:05:50] shu_tai: もしかしたらどうにもならない問題？
[0:06:20] artificial_prayer: 昔のテレビみたいにしたいのか
[0:06:23] クレヨンパステル: 解像度とかなんかの設定で変えられないのかなー
[0:06:27] ランボルぎゅーにゅー: こんけんき
[0:06:27] たこのあお: コメ欄で誤魔化す事が多いですよね
[0:06:34] sadygaga: おあよ
[0:06:34] ぺろキャン: 本日は何を？？
[0:06:48] tekitoodesu: ほう
[0:06:48] てーヘん: お
[0:06:48] 蕎麦つゆ: おぉ
[0:06:49] bossneko616: お
[0:06:49] らずきち: おぉ？
[0:06:49] 昆布畑: おん？
[0:06:50] scrapcrafter25: お
[0:06:51] ぺろキャン: はい
[0:06:52] _しろかみ_: お
[0:06:52] kaleido_3980: お
[0:06:58] らずきち: どれだろう
[0:07:00] さすらい777: のまくんおはんよ
[0:07:01] のむのむの: ﾈｺﾁﾔﾝ
[0:07:01] なのつん: お
[0:07:01] ハイ_: ﾈｺﾁｬﾝ BibleThump
[0:07:06] たおかん05: うんうん
[0:07:07] おもチ: もう昨日のセット崩れてる・・
[0:07:13] どすこいアオハル学園: ニャンコ撤退
[0:07:15] たおかん05: ちゃんと見てたんだ
