[0:00:36] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:41] kouineman: Kreygasm
[0:00:54] marvolo6: おじゃ
[0:01:10] ブタ麺うますぎ: topボリ楽しいよ
[0:01:15] baitking9: lolの火を絶やすな
[0:01:30] ブタ麺うますぎ: 先輩もぱずくんもらいさまも今日ずっとボリボリしてた
[0:01:45] marvolo6: Q足早くなったんだっけ
[0:02:05] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:02:29] amakusa3065: tanukiGoja
[0:02:32] ブタ麺うますぎ: banされなかったらjaxbanしてtopTFある？
[0:02:33] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:03:16] trans_am: ジャックよりイレリアのがキツくない？
[0:03:37] ブタ麺うますぎ: スタは使えるカウントしてくれますか？
[0:04:13] yatu_hasi: ADTFマジで撲滅してほしい
[0:04:49] 城です: アイテムヘイスト熊的には相性いいのとマナきついから？
[0:04:55] でかいのに0: Qでシールド張ってW2回発動までの時間稼ぎできるでござ？
[0:05:27] 城です: 象先輩の配信見てたけどファイト中にマナなくなってたし
[0:05:32] ブタ麺うますぎ: あ、ノマか
[0:05:44] でかいのに0: れいちんも何もないのか
[0:05:50] trans_am: 不健全だよなADTF
[0:06:32] ブタ麺うますぎ: くまさんがスカッってなるモーションちょっと笑っちゃう
[0:07:10] でかいのに0: そんなのきいてないでござるよー
[0:08:33] amakusa3065: ヨシ！
[0:08:43] でかいのに0: ｗｗ
[0:08:47] ブタ麺うますぎ: w
[0:08:53] ブタ麺うますぎ: まあまあ騙されたと思って
[0:09:00] pirosue_: そのビルド正直弱いww
[0:09:33] lucky_punch1111: タンクボリかあ
[0:09:51] 城です: ちなみにエイトロとの殴り合いはお互い無限に倒しきれなくて熊のマナ無くなって解散してたよ
[0:10:03] pirosue_: でも熊さんがファーストリコール弱いのってどうなの？
[0:10:11] sharryphase: おじゃ
[0:10:29] amakusa3065: つよ
[0:10:34] lucky_punch1111: いけるやん
[0:10:36] ブタ麺うますぎ: うおおおおおくまさん最強
[0:11:04] lucky_punch1111: 勝ちリコール
[0:11:07] でかいのに0: こっから！？
[0:11:34] でかいのに0: なんか最近フィンブルウィンターと絶望のセット見るけど強いんでござ？
[0:12:14] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:12:51] pirosue_: 熊さんで絶望、冬の訪れ、ビサージュをアイテムヘイストルーンと合わせると強いって話しよね
[0:13:16] shironoir10: ボリベアのRって行動妨害無効からアンストッパブルに変わったらしいけど何が違うんですか？
[0:13:34] lucky_punch1111: 一生死なないくまさんを作るってことね
[0:13:46] merino_xx: ほえー
[0:13:49] yatu_hasi: へー
[0:13:56] shironoir10: じゃあちょっと弱くなったのか
[0:14:04] yatu_hasi: 相手のヴァルスもアンストッパブルや
[0:14:14] みかん茶: ミリだ
[0:15:12] zax5553: 無法ダイブ
[0:15:19] amakusa3065: 熊さんは非常にダイブが強く
[0:15:21] marvolo6: 熊さんのダイブつえー
[0:15:23] lucky_punch1111: こんなダイブ許せねえよ
[0:15:45] pirosue_: そういやCD早くなった代わりにタワー無効時間短くなったんだっけ？
[0:16:09] でかいのに0: 前のCD長すぎた
[0:16:15] lucky_punch1111: 逆につええのか
[0:16:15] merino_xx: 脅威ビルドでくまさんと殴り合うのは相当きつそう
[0:16:32] zax5553: 涙は冬の訪れ？
[0:16:33] hugutati: 9/0/0のバケモンどうします
[0:16:39] marvolo6: え、もうウルト上がりそうなんだが
[0:16:40] のすびれ: 下界が大変なことになってる
[0:16:50] lucky_punch1111: 王剣かあ
[0:17:00] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:17:02] でかいのに0: エイトロしゃぶしゃぶされとる
[0:17:36] shironoir10: 許して〜
[0:17:38] lucky_punch1111: ま、まずーーーい
[0:17:39] でかいのに0: 可愛くなって跳ねたw
[0:17:39] mugimiya: かわいい
[0:17:39] zax5553: つっよ
[0:17:42] amakusa3065: 危険予知◎
[0:17:42] o_penkai: かわいいジャンプ
[0:17:44] akireth: リスさんジャンプするんだ……
[0:17:44] pirosue_: 可愛くなりながらウルト使ったww
[0:17:46] marvolo6: ナーみたいだったｗ
[0:17:48] lucky_punch1111: かわいかったな
[0:17:48] keima94: ミニナーかな？
[0:18:38] zawachii: つっよ
[0:18:39] zax5553: わろーた
[0:18:43] pirosue_: 強過ぎてからそこに居ただけでした
[0:18:44] amakusa3065: ござ BibleThump
[0:18:45] keima94: やや惨事か
[0:18:45] hecate000: なめてたのはクマの方でした
[0:20:12] amakusa3065: 止まんねーこの熊
[0:20:36] pirosue_: ビルドとか関係なくただ熊が強い
[0:20:49] えいるえいる: 先に殴ってからRするのか。参考になるわー
[0:20:52] geatarou: まぁヘルススケールもあるし
[0:20:57] merino_xx: うおおおおお
[0:21:03] shironoir10: おいしい
[0:21:08] pirosue_: うおおおおおお1000G！！！
[0:21:27] yuzu1nari: 生物としての格を見せつけていけ
[0:21:42] pirosue_: なんかヘルスほぼ満タンなんですが
[0:21:42] 城です: バケモンだ
[0:22:05] kurobane31: 人間がクマに勝てるわけねえよなあ
[0:22:11] kitakitaoyaji02: kitakitaoyaji02 subscribed with Prime. 
[0:23:10] pirosue_: わからせたから帰ってった
[0:23:28] lucky_punch1111: プッシュ遅いとはいえじゃね？
[0:23:38] moniicaonline: jgで使っても強そう？
[0:23:40] pirosue_: なんか普通にバミ系積んだ方が強そうじゃない？
[0:24:35] kurobane31: つんえー
[0:24:37] amakusa3065: つっよ
[0:24:43] zawachii: また1000g
[0:24:45] yatu_hasi: ヴァルスのキル分だけで2000Gあって草
[0:24:51] almach0309: これはノーマルですか
[0:25:32] lucky_punch1111: ふふふ、力の使い方を間違えておるぞい。
[0:25:33] えいるえいる: 2s
[0:25:36] shot_taka: NO
[0:25:40] yappi000: 冬の訪れ久しぶりに見た
[0:25:45] zawachii: 出ないです
[0:25:49] hecate000: プッシュ用になんかほしい
[0:25:55] pirosue_: シーン1.5秒じゃなかった？
[0:26:08] えいるえいる: 1.5になったんだっけ
[0:26:24] lucky_punch1111: バミとかタイタンアリやな
[0:26:33] yatu_hasi: ｗｗｗｗｗｗ
[0:26:33] yuzu1nari: 大回復バトル
[0:26:34] masatedi: どっちもかてえ
[0:26:38] Pinochiiiii: ばかつええええｗ
[0:26:43] keima94: タワー下でも余裕で草
[0:26:43] lucky_punch1111: 回復やばすぎ
[0:26:44] kurobane31: タワーくらいながら勝ってて草
