[0:00:45] olutan: k4senPatipati
[0:00:49] oli_____28: oli_____28 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! uggKonCha uggKonCha
[0:01:20] アラキサンダー: uggGOOD2
[0:02:29] l1ng1130: 珍しい面子やな
[0:02:29] k_hechima: どういうメンツ？w
[0:02:34] ayukunddd: スト鯖の人とフルパ？
[0:02:35] ginjiro22: !member
[0:02:36] tekewo: tekewo subscribed with Prime. 
[0:02:45] tekewo: できた
[0:03:01] kyotaro345: メンツ誰？
[0:03:02] l1ng1130: どういう集まりなんやｗ
[0:03:20] Xinjing99: GenGLか
[0:03:21] ayukunddd: GTAのギャングの人じゃないか？
[0:03:47] k_hechima: あ
[0:03:56] l1ng1130: GenG？
[0:03:56] haaponpon: スト鯖で初めてUGが仲良くなった人たち
[0:03:59] l1ng1130: ｗｗｗｗｗｗ
[0:04:03] 春菊: 流出UG
[0:04:08] l1ng1130: 流出ｗ
[0:04:23] izuna4124: ローレンきちゃー！
[0:04:24] gashnn: !member
[0:04:35] fun_gori: まじ！？
[0:04:43] gashnn: 誰がいるの！？
[0:04:52] yamii_o5: GenGかと思ったらGanGlだった
[0:04:55] めっつびたー: なんだこのメンバーあつ
[0:05:45] l1ng1130: ｗｗ
[0:06:13] yamada_gg: broとLOL楽しみだ
[0:06:13] Moobot: 【深呼吸習慣 継続中】ston s で深呼吸してひと休み。JapaneseKoreanUGの推しフレイバーは Bluberry（カフェイン配合）提供：ブリージングデバイス「ston s」 【プロモーションコード：UG】で ston s 3本セット定期便コース（1,500円）が500円引きになります。 https://bit.ly/stons_UG
[0:06:14] yamada_gg: ｗｗ
[0:06:20] kyotaro345: 小柳さんとミドリさんって普段何してる人？
[0:06:21] l1ng1130: mid
[0:06:32] l1ng1130: 練習にならんかｗ
[0:06:43] gashnn: なんか渋ハル以外声ちーさい
[0:06:57] すーぱーもぐもぐぅ: 他の人の声ちいさめやね
[0:07:00] yamada_gg: ミドリさんはレインさんとかとも仲いい人じゃなかった？
[0:07:09] tssutil: ジェイスかもん
[0:07:23] yamada_gg: 59AD
[0:07:39] l1ng1130: ｗｗｗｗｗｗ
[0:07:43] yamada_gg: ｗ
[0:08:20] あなたの笑顔に惚れました: 渋はる以外声小さくない？？
[0:08:24] すーぱーもぐもぐぅ: コヤロウさんの声ちいさいね
[0:08:36] yamada_gg: たしかに渋ハル以外の人の声小さいね
[0:08:38] iyemon315: 渋ハルだけ聞こえる
[0:09:46] mega_oly: ｗ
[0:09:49] tssutil: まずいｗ
[0:09:51] yamii_o5: 一番まずい
[0:09:53] harumaki34: あ
[0:09:57] yamada_gg: あ
