[0:01:13] Fred_worth: れおな？
[0:01:34] リスキーダイス: おいす
[0:01:35] mimitabu__: おいす
[0:01:37] tm9_252: おいす
[0:01:45] financier29: おいすおいす
[0:01:47] viole_t2018: おいす
[0:01:55] madobuti: おいす
[0:02:03] と0てノ: おいす
[0:02:07] ローマン: 逆に健康
[0:03:01] financier29: 釈迦さんARAM好きよね
[0:03:37] sparklingfrisk: 昨日イブラヒムランクやってたけどおぼめんとduoしたがってたよ
[0:03:57] dashsnow_: ⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⠀⠀⢀⠀ ⡐⡐⡐⡐⡐⡐⡐⣰⣰⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⡐⣐⣔⡐⡐⡐⡀⠀⠀⠀⠀ ⢂⢂⢂⢂⢂⢂⢺⠁⠀⠹⠖⠒⠒⠓⠛⠚⠒⠒⠦⢾⠁⠀⢹⢐⠐⠄⡀⡀⠀⠀ ⡂⡂⡂⡂⡂⣂⡾⠓⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢭⡂⠅⠅⡂⡂⠅⠅ ⡂⡂⡂⡂⡶⠋⠀⠀⠀⠀⢀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠙⢧⡡⢂⠂⠅⠅ ⢂⢂⠂⣾⠁⠀⠀⠀⠀⢀⡴⢢⡄⠀⠀⠀⠀⡬⢭⡀⠀⠀⠀⠀⠀⢷⠠⠡⠡⠡ ⡂⡂⣱⡇⠀⠀⠀⡀⡄⡘⠯⠽⠃⠀⠀⠀⠀⠿⠮⢃⢠⢀⢀⠀⠀⢸⡇⠅⠅⠅ ⡂⠢⢸⡇⠀⠀⠘⠹⢘⠚⠀⠀⠀⠦⣾⡤⠆⠀⠀⠘⠪⡋⠣⠀⠀⢸⡇⠅⠅⠅ ⠨⠨⢐⢧⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠒⠂⠀⠀⠀⠀⠀⠀⠀⠀⠀⣼⠠⠡⠡⢑ ⠨⠨⠐⠌⢧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⠣⠨⠨⠨⢐ ⠨⠨⠨⠨⠠⡟⢠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡈⢳⠨⠨⠨⠨⢐ ⠨⠨⠨⡈⡂⠧⠿⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡼⠳⠬⡃⠅⢅⢑⢐ ⠌⠌⡂⠢⠨⠨⠐⠵⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡜⠅⠅⠅⡂⠅⡂⡂⡂ ⠅⠅⡂⠅⠅⠅⠅⠅⡊⡓⢦⠀⣀⣀⣀⣀⣀⡠⣠⠴⠋⠌⠌⠌⡂⡂⠅⡂⡂⡂ ⠅
[0:03:58] financier29: っすーーーーー
[0:03:59] a_nans: スゥー
[0:04:32] ヌル山ベチョ美: わっ、わわぁ
[0:04:41] imoimofishlife: obosanOi obosanSu
[0:05:33] takosu_1: Let's go T1ーーー！
[0:05:39] ヤニです: おいす k4senTeeeemo
[0:05:54] muto_6: guwonはアカデミーの人やったんか
[0:05:56] 3年後の私へ: おいす
[0:05:59] takosu_1: GEN対T1楽しみ
[0:06:06] ぷーくま: おいす おやすみ
[0:06:14] shimp525: やばいす。
[0:06:14] ヤニです: 今年やばすぎてずっと頭痛
[0:06:15] ビビチキン: 今季終わってる
[0:06:50] takosu_1: オナーじゃないよ
[0:08:06] ぷーくま: GO
[0:08:18] acpdata: tfカルマ開いてて取らないとマジで終わる
[0:08:20] financier29: 最強チャンプきちゃ
[0:08:32] takosu_1: 集中！
[0:08:49] Nightbot: @おぼです -> A commercial was ran too recently ago. Commercials can only be ran every 8 minutes.
[0:08:52] がはは_: おはようおいす
[0:09:13] bisukeeeeeee: おじゃです
[0:09:24] takosu_1: マントラQでGG
[0:09:32] kakinotane1111: topのマッチアップグロすぎ
[0:09:53] ぷーくま: 手が逝ったか
[0:09:54] osoujaisan: あら～
[0:10:00] financier29: 腱鞘炎って癖になるよな
[0:10:05] bisukeeeeeee: 腱鞘炎まじでいたい
[0:10:11] muto_6: LOLもまあ安静にできるゲームではないけどｗ
[0:10:22] acpdata: padだと余計に指痛くなりそう
[0:10:51] がはは_: www
[0:10:54] ぷーくま: 溶けるねw
[0:11:23] muto_6: チャンピオンにスキル当てるたびにRのクール縮まるから思ったより結構打てる
[0:12:26] れつと: れつと subscribed with Prime. They've subscribed for 25 months! 
[0:13:12] chikin3537: マナ一生減らないよ
[0:13:21] muto_6: RQ当たらなくても最大距離で爆発するのだるい
[0:13:34] asasa12312: ありがてえ
[0:13:50] takosu_1: 今の当たってないんだw
[0:13:54] mimitabu__: 暇な時にWするとRのCD縮むよ
[0:13:55] おリお: カルマいま環境最強格だもんな
[0:13:56] asasa12312: RWうまい
[0:14:07] chikin3537: RW回復しすぎだ
[0:14:56] kakinotane1111: 100値上がりの影響が
[0:15:45] asasa12312: 後衛ミリ残りする
[0:16:02] jetytrdy: グリーンバックはまだ届いてない、と。
[0:18:01] takosu_1: ちょっと空気悪いか
[0:18:20] asasa12312: こっち帰ってないからしゃあない
[0:18:23] とふめる: RWして回復したいな
[0:18:23] chikin3537: 1プレート6csと1キルなら全然ワースではありそう
[0:19:10] muto_6: RWめっちゃ回復するぞ
[0:19:26] tyetyena0416: おいすー
[0:19:34] chikin3537: RWはマジですごい回復するね
[0:19:40] asasa12312: さっきやってたよ
[0:19:42] goropon715: 槍当たってたら終わってた
[0:19:56] とふめる: それがち強いです
[0:20:01] goropon715: 36％回復とかえぐいな
[0:20:10] chikin3537: 合わせて二回もりっと回復する
[0:20:12] goropon715: ジャングルもいける
[0:20:18] tak1on_: カニにつないだ人がいまして
[0:20:30] muto_6: マリグきたああ
[0:20:32] iggy65655: マントラqいてて
[0:20:33] とふめる: もうパワースパイクです
[0:20:35] corgi_green: dmgが
[0:22:06] asasa12312: メレー相手だとよく使う
[0:22:09] goropon715: 入れる保険ある
[0:22:35] chikin3537: R使わなくても後衛ワンパンとかないっけ
[0:22:53] asasa12312: シャード次第の時間帯ある
[0:23:22] asasa12312: うまい
[0:23:28] muto_6: ニダリーの槍ほっそ
[0:24:00] とふめる: ｗ
[0:24:08] goropon715: 惜しい
[0:24:48] asasa12312: RWや
[0:24:51] とふめる: イカれた
[0:25:04] めっつれもん: wスネアならなくてもRのCD短くなりますよ
[0:25:10] tak1on_: なんか鼻声やなｗ
[0:25:14] muto_6: ffはっや
[0:25:20] kakinotane1111: 撃つだけのマシーンでもこんなに強い
[0:25:25] chikin3537: 正直midにカルマいた方がmidタワー守れそう
[0:25:36] とふめる: ヴェインミリオで試合投げるのはちょっと
[0:25:44] めっつれもん: ww
[0:25:46] asasa12312: ないしてんねーん
[0:26:08] めっつれもん: いいタックル過ぎる
[0:26:11] とふめる: 治安が悪いな
[0:26:15] goropon715: つられるようにデット
[0:26:15] tak1on_: ミリオ6レベって表示バグか？
[0:26:16] chikin3537: 死ぬほどくるね
[0:26:28] asasa12312: 安全だから
[0:28:36] asasa12312: みんな来るぞ
[0:28:47] めっつれもん: ｗｗ
[0:28:52] おリお: ｗｗ
[0:28:54] muto_6: そのリコール偉いな
[0:28:54] めっつれもん: なんか死んだ
[0:28:56] とふめる: おまえがしぬんかいｗ
[0:30:11] chikin3537: チーム重いし1ドラでも取れたらクソ美味そう
[0:30:49] muto_6: ｗｗｗｗｗ
[0:30:54] asasa12312: REうった？
[0:30:54] うんちもぐもぐ: www
