[0:00:28] xyabx: やあ
[0:00:29] tachibanasamur1: HungryPaimon HungryPaimon HungryPaimon
[0:00:43] 冷製カミス: 本家かと思ったらスマホ版だった
[0:00:45] shuta15: とんっす unkochanRunnewdave ✋
[0:01:02] nabuki5555: にょっす🐮✋
[0:03:30] しばだお_: スマホ？
[0:03:38] 新鮮なとまと: スマホ版ってレッドサイドでも右から左にウェーブ流れるんだ
[0:05:33] 冷製カミス: ｗ
[0:05:47] 冷製カミス: フリーファームナサス
[0:11:11] the_knuckles_echidna: ワイルドリフトは靴進化させられる所が良い
[0:11:31] PythonIsEpic: stansm1OooDa stansm1OooDa stansm1OooDa stansm1OooDa stansm1OooDa stansm1OooDa stansm1OooDa
[0:11:53] the_knuckles_echidna: ジャングルが倒すと他の味方がその赤効果貰える
[0:13:20] the_knuckles_echidna: マップタップで自動移動の設定も出来ますよ
[0:15:05] 胡麻味噌髄: ラックスあるある
[0:15:58] the_knuckles_echidna: 多分相手botなんで
[0:17:13] the_knuckles_echidna: 数ヶ月でも離れてたら最初の何戦かはbotですよ
[0:17:25] the_knuckles_echidna: 救済措置的な
[0:18:01] the_knuckles_echidna: ランクでも初戦はbotの可能性ありますね
[0:18:24] 山田有宇太: こんばんわ、LoLだあ
[0:18:52] 山田有宇太: LoLというかスマホの方でしたね
[0:19:22] StarRiver_ow: なんか比率おかしいと思ったらワイリフでワロタ
[0:19:37] はるかぜちゃん: きしさんはLOLもつよいのか！
[0:19:39] the_knuckles_echidna: その機能オンにしてると良かったとこがハイライト保存されます
[0:20:02] the_knuckles_echidna: アイコンから行けます
[0:20:25] はるかぜちゃん: 4年前ｗｗｗ
[0:20:58] the_knuckles_echidna: ヴァンシーベールとかヴォイドスタッフ無いですよ
[0:22:00] imo512: まさかのワイリフ
[0:22:15] はるかぜちゃん: ＰＣ版とほぼ一緒？
[0:22:32] the_knuckles_echidna: アイテムの靴がかなり違う
[0:22:59] はるかぜちゃん: つよｗｗｗ
[0:23:02] the_knuckles_echidna: ゴールドまではbot多いです
[0:23:15] burgersfps: ワイリフやってる
[0:23:31] the_knuckles_echidna: 砂時計が靴から出来る
[0:23:36] charlywow: カタリナはultしながら動けますよ
[0:24:11] the_knuckles_echidna: 物理チャンピオンも砂時計使える
[0:24:13] はるかぜちゃん: めっちゃ３Ｄ
[0:24:28] わんず: 試合前の演出かっこよいですねえ
[0:24:45] burgersfps: JGが壊すゲーム
[0:25:07] わんず: サモリフだったらW確定ですよねｗ
[0:25:56] the_knuckles_echidna: 3回使うとチルスマイトに確定でなります
[0:26:06] わんず: サイズ感的にはサモリフよりかなり小さい感じなんですね
[0:26:18] はるかぜちゃん: ｗｗｗ
[0:26:39] studioobanzai: ソンフンミンクソ強いんでしょ？
[0:26:44] mckee_cc: vainglory思い出す？
[0:26:52] charlywow: 岩→赤バフ→鳥→狼でちょうどスカトルに向かえますよ
[0:27:03] chanshin13: ベイングローリー懐かしすぎる
[0:27:30] mckee_cc: 初めてスタンスミスさんのこと知ったのはベインからだった
[0:27:31] the_knuckles_echidna: 3か4キャンプでスカトル湧きます
[0:30:14] the_knuckles_echidna: ゼリとかヨネはpcからすぐこっちにも出ました
[0:31:36] mckee_cc: ワイリフもlolの息抜きにちょくちょくやって丁度いい
[0:31:46] niku323856: ワイリフ！？
[0:33:12] the_knuckles_echidna: 今のpcには亡きディヴァインサンダラーもありますよ
