[0:00:19] yusa_vl: ajak0nHi
[0:00:25] まるーんじぐざぐ: おじゃ ajak0nTe3
[0:00:36] ぺんすけにこ: ajak0nTe3
[0:00:37] みちょ_: こんばんは〜
[0:00:37] きゃぶ: おじゃ
[0:00:38] Mikepotato_06: エペではないんだよね
[0:00:44] daichi0101: ？！
[0:00:44] rqn4_: か、みとかい
[0:00:45] nao2244: !sens
[0:00:45] Nightbot: 800dpi 0.23
[0:00:48] sabafish: おじゃ
[0:00:55] piar0o: watch party
[0:00:57] gigi_luc: 通知だけでもう誰かわかるwwwwwww
[0:00:59] 2_223: か、みと
[0:01:00] ago_is_mikado: おじゃ〜 ajak0nTe3
[0:01:21] Miku_517: ajak0nTe3 ajak0nTe3
[0:01:52] レフラー621: ajak0nTe3 ajak0nTe3 ajak0nTe3
[0:01:52] komomo_beans: そろそろかみーとのサブ垢で自撮りあがんないかな〜
[0:02:05] こんにちわとそん: ちゃーちんぐ
[0:02:11] toumine: こんにちは
[0:03:02] 初動激戦区降り御免早漏: おじゃ ajak0nTe3 ajak0nTe3 ajak0nTe3
[0:03:10] yagi_ais: ajak0nWa ajak0nWa ajak0nWa
[0:03:13] anra_321: チェンバーさんだ
[0:03:13] yagi_ais: wwwwwwwww
[0:03:19] よおおおお: あじゃ喋ってる？
[0:03:22] Mikepotato_06: あじゃ声なし？
[0:03:24] たもー: おじゃ
[0:03:24] 初動激戦区降り御免早漏: 流石にApexのスクリムには出ないか
[0:03:25] 結城蒼泉: 結城蒼泉 subscribed at Tier 1. They've subscribed for 13 months! 
[0:03:26] nayuutm: 野良チェンバー
[0:03:37] yutahgutar: !rank
[0:03:38] Nightbot: Immortal 3 - 379RR. Lv.905
[0:03:47] スカッシュレモン: 動物園配信？
[0:03:55] yagi_ais: ｗｗｗｗｗ
[0:03:57] Mikepotato_06: かみーととやれば？
[0:03:57] yutahgutar: !kamitorank
[0:03:57] yagi_ais: 勝つかｗｗｗ
[0:03:58] 初動激戦区降り御免早漏: うま
[0:04:00] faiba2525: すご
[0:04:01] komomo_beans: おほほほ
[0:04:01] bonjin_ss: 誘える人写ってるやん
[0:04:04] よおおおお: wwwwwwwwww
[0:04:04] anra_321: 力技すぎるww
[0:04:07] ゆゆたろう: ボド1人だぞ！
[0:04:14] slr0n: RIDDLE
[0:04:15] yagi_ais: ランクギャップか
[0:04:24] daichi0101: ぼどとかみとでgo
[0:04:27] faiba2525: 最近仲良いね
[0:04:28] まるーんじぐざぐ: いつもの2人
[0:04:29] みきまーる: スクリムでないんですか？
[0:04:30] yagi_ais: ｗｗｗｗｗｗｗｗ
[0:04:34] financier29: ｗｗｗｗ
[0:04:34] 立派なマシュマロ: www
[0:04:34] たもー: www
[0:04:39] yukinko303: あじゃとかみーとのエペ好きです
